"Gender","Century","Scope","Country","Name","Frequency"
"Female","21st","Musician","Canada","Nelly Furtado","3"
"Female","21st","Musician","Canada","Avril Lavigne","2"
"Female","21st","Musician","France","Christine & the Queens","5"
"Female","21st","Musician","France","Zaz","4"
"Female","21st","Musician","France","Alizée","2"
"Female","21st","Musician","France","Angèle","2"
"Female","21st","Musician","France","Aya Nakamura","2"
"Female","21st","Musician","Spain","Rosalía","4"
"Female","21st","Musician","Spain","Bebe","3"
"Female","21st","Musician","Spain","Amaia","2"
"Female","21st","Musician","Spain","Ana Tijoux","2"
"Female","21st","Musician","Spain","Mala Rodríguez","2"
"Female","21st","Musician","Turkey","Sezen Aksu","4"
"Female","21st","Musician","Turkey","Göksel","3"
"Female","21st","Musician","Turkey","Sertab Erener","3"
"Female","21st","Musician","Turkey","Hadise","2"
"Female","21st","Musician","Turkey","Hande Yener","2"
"Female","21st","Philosopher","Mexico","Graciela Hierro","2"
"Female","21st","Philosopher","Mexico","Alejandra Carrasco","1"
"Female","21st","Philosopher","Mexico","Alejandra Rossi","1"
"Female","21st","Philosopher","Mexico","Ana Guadalupe Sampedro","1"
"Female","21st","Philosopher","Mexico","Aurelia Valero Pie","1"
"Female","21st","Philosopher","Netherlands","Annemarie Mol","3"
"Female","21st","Philosopher","Netherlands","Joke Hermsen","2"
"Female","21st","Philosopher","Netherlands","Rosi Braidotti","2"
"Female","21st","Philosopher","Netherlands","Baukje Prins","1"
"Female","21st","Philosopher","Netherlands","Caroline van Dover","1"
"Female","21st","Politician","Portugal","Maria de Lourdes Pintasilgo","6"
"Female","21st","Politician","Portugal","Ana Catarina Mendes","2"
"Female","21st","Politician","Portugal","Ana Gomes","2"
"Female","21st","Politician","Portugal","Assunção Cristas","2"
"Female","21st","Politician","Portugal","Catarina Martins","2"
"Female","21st","Scientist","Argentina","Amy Austin","2"
"Female","21st","Scientist","Argentina","Ana Franchi","2"
"Female","21st","Scientist","Argentina","Gabriela González","2"
"Female","21st","Scientist","Argentina","Sandra Diaz","2"
"Female","21st","Scientist","Brasil","Jacqueline Goes de Jesus","3"
"Female","21st","Scientist","Brasil","Mayana Zatz","3"
"Female","21st","Scientist","Brasil","Marcia Barbosa","2"
"Female","21st","Scientist","Brasil","Adriana Mercadante","1"
"Female","21st","Scientist","Brasil","Alice Assmann","1"
"Female","21st","Scientist","Japan","Akiko Iwasaki","1"
"Female","21st","Scientist","Japan","Akiko Kobayashi","1"
"Female","21st","Scientist","Japan","Atsuko Tanaka","1"
"Female","21st","Scientist","Japan","Chieko Asakawa","1"
"Female","21st","Scientist","Japan","Chika Kuroda","1"
"Female","21st","Scientist","United States","Lisa Randall","4"
"Female","21st","Scientist","United States","Frances Arnold","3"
"Female","21st","Scientist","United States","Jennifer Doudna","3"
"Female","21st","Scientist","United States","Ariel Chase Freidberg","1"
"Female","21st","Scientist","United States","Bonnie Bassler","1"
"Female","21st","Writer","Italy","Elena Ferrante","5"
"Female","21st","Writer","Italy","Dacia Maraini","3"
"Female","21st","Writer","Italy","Margaret Mazzantini","3"
"Female","21st","Writer","Italy","Melania G. Mazzucco","3"
"Female","21st","Writer","Italy","Susanna Tamaro","3"
"Female","21st","Writer","Norway","Vigdis Hjorth","4"
"Female","21st","Writer","Norway","Linn Ullmann","3"
"Female","21st","Writer","Norway","Gunnhild Øyehaug","2"
"Female","21st","Writer","Norway","Hanne Ørstavik","2"
"Female","21st","Writer","Norway","Maja Lunde","2"
"Female","21st","Writer","Turkey","Elif Shafak","4"
"Female","21st","Writer","Turkey","Buket Uzuner","3"
"Female","21st","Writer","Turkey","Perihan Mağden","3"
"Female","21st","Writer","Turkey","Aslı Erdoğan","2"
"Female","21st","Writer","Turkey","Ayfer Tunç","2"
"Male","20th","Artist","China","Wu Guanzhong","4"
"Male","20th","Artist","China","Xu Beihong","4"
"Male","20th","Artist","China","Lin Fengmian","3"
"Male","20th","Artist","China","Qi Baishi","3"
"Male","20th","Artist","China","Zhang Daqian","3"
"Male","20th","Artist","France","Henri Matisse","5"
"Male","20th","Artist","France","Marcel Duchamp","4"
"Male","20th","Artist","France","Fernand Léger","3"
"Male","20th","Artist","France","Georges Braque","3"
"Male","20th","Artist","France","Jean Dubuffet","3"
"Male","20th","Artist","South Korea","Kim Whan-ki","4"
"Male","20th","Artist","South Korea","Lee Ufan","4"
"Male","20th","Artist","South Korea","Nam June Paik","4"
"Male","20th","Artist","South Korea","Chang Ucchin","3"
"Male","20th","Athlete","Norway","Bjørn Dæhlie","4"
"Male","20th","Athlete","Norway","Ole Einar Bjørndalen","4"
"Male","20th","Athlete","Norway","Johann Olav Koss","2"
"Male","20th","Athlete","Norway","Vegard Ulvang","2"
"Male","20th","Athlete","Norway","Arne Period","1"
"Male","20th","Athlete","Poland","Robert Korzeniowski","4"
"Male","20th","Athlete","Poland","Adam Małysz","3"
"Male","20th","Athlete","Poland","Jerzy Kulej","3"
"Male","20th","Athlete","Poland","Andrzej Gołota","2"
"Male","20th","Athlete","Poland","Kazimierz Deyna","2"
"Male","20th","Athlete","Turkey","Naim Süleymanoğlu","3"
"Male","20th","Athlete","Turkey","Hamit Kaplan","2"
"Male","20th","Athlete","Turkey","Kenan Sofuoğlu","2"
"Male","20th","Athlete","Turkey","Metin Oktay","2"
"Male","20th","Athlete","Turkey","Ahmet Ceylan","1"
"Male","20th","Economist","Germany","Walter Eucken","5"
"Male","20th","Economist","Germany","Wilhelm Röpke","4"
"Male","20th","Economist","Germany","Karl Schiller","3"
"Male","20th","Economist","Germany","Alexander Rüstow","2"
"Male","20th","Economist","Germany","Alfred Müller-Armack","2"
"Male","20th","Economist","South Korea","Jong-Wha Lee","2"
"Male","20th","Economist","South Korea","Ahn Choong-Yong","1"
"Male","20th","Economist","South Korea","Baek Nak-ki","1"
"Male","20th","Economist","South Korea","Cho Soon","1"
"Male","20th","Economist","South Korea","Cho Yoon-Je","1"
"Male","20th","Inventor","China","Qian Xuesen","3"
"Male","20th","Inventor","China","Deng Jiaxian","2"
"Male","20th","Inventor","China","Tu Youyou","2"
"Male","20th","Inventor","China","Wang Xuan","2"
"Male","20th","Inventor","China","Yuan Longping","2"
"Male","20th","Inventor","Portugal","António Champalimaud","2"
"Male","20th","Inventor","Portugal","Egas Moniz","2"
"Male","20th","Inventor","Portugal","Abel Pintado","1"
"Male","20th","Inventor","Portugal","Alberto Santos-Dumont","1"
"Male","20th","Inventor","Portugal","Alfredo da Silva","1"
"Male","20th","Inventor","United States","Nikola Tesla","3"
"Male","20th","Inventor","United States","Philo Farnsworth","3"
"Male","20th","Inventor","United States","Bell","2"
"Male","20th","Inventor","United States","Robert Goddard","2"
"Male","20th","Inventor","United States","Thomas Edison","2"
"Male","20th","Musician","Netherlands","Louis Andriessen","3"
"Male","20th","Musician","Netherlands","Boudewijn de Groot","2"
"Male","20th","Musician","Netherlands","André Hazes","1"
"Male","20th","Musician","Netherlands","André Rieu","1"
"Male","20th","Musician","Netherlands","Anton Webern","1"
"Male","20th","Philosopher","Canada","George Grant","5"
"Male","20th","Philosopher","Canada","Marshall McLuhan","5"
"Male","20th","Philosopher","Canada","Charles Taylor","4"
"Male","20th","Philosopher","Canada","John Ralston Saul","3"
"Male","20th","Philosopher","Canada","Harold Adams Innis","2"
"Male","20th","Philosopher","France","Jacques Derrida","5"
"Male","20th","Philosopher","France","Jean-Paul Sartre","5"
"Male","20th","Philosopher","France","Maurice Merleau-Ponty","4"
"Male","20th","Philosopher","France","Michel Foucault","4"
"Male","20th","Philosopher","France","Gilles Deleuze","3"
"Male","20th","Politician","Netherlands","Ruud Lubbers","4"
"Male","20th","Politician","Netherlands","Willem Drees","4"
"Male","20th","Politician","Netherlands","Hendrikus Colijn","3"
"Male","20th","Politician","Netherlands","Joop den Uijl","3"
"Male","20th","Politician","Netherlands","Wim Kok","2"
"Male","20th","Scientist","Italy","Enrico Fermi","5"
"Male","20th","Scientist","Italy","Carlo Rubbia","3"
"Male","20th","Scientist","Italy","Emilio Segrè","3"
"Male","20th","Scientist","Italy","Renato Dulbecco","3"
"Male","20th","Scientist","Italy","Bruno Pontecorvo","2"
"Male","20th","Writer","Argentina","Adolfo Bioy Casares","5"
"Male","20th","Writer","Argentina","Jorge Luis Borges","5"
"Male","20th","Writer","Argentina","Julio Cortázar","5"
"Male","20th","Writer","Argentina","Manuel Puig","5"
"Male","20th","Writer","Argentina","Ernesto Sabato","4"
"Male","20th","Writer","Netherlands","Harry Mulisch","5"
"Male","20th","Writer","Netherlands","Gerard Reve","4"
"Male","20th","Writer","Netherlands","Jan Wolkers","4"
"Male","20th","Writer","Netherlands","Willem Frederik Hermans","4"
"Male","20th","Writer","Netherlands","Simon Vestdijk","3"
"Male","20th","Writer","Poland","Czesław Miłosz","5"
"Male","20th","Writer","Poland","Witold Gombrowicz","5"
"Male","20th","Writer","Poland","Stanisław Lem","4"
"Male","20th","Writer","Poland","Zbigniew Herbert","4"
"Male","20th","Writer","Poland","Jerzy Andrzejewski","3"
"Male","20th","Writer","United Kingdom","George Orwell","4"
"Male","20th","Writer","United Kingdom","Graham Greene","4"
"Male","20th","Writer","United Kingdom","Kingsley Amis","3"
"Male","20th","Writer","United Kingdom","T.S. Eliot","3"
"Male","20th","Writer","United Kingdom","D.H. Lawrence","2"
"Male","21st","Artist","Brasil","Caetano Veloso","3"
"Male","21st","Artist","Brasil","Gilberto Gil","3"
"Male","21st","Artist","Brasil","Seu Jorge","3"
"Male","21st","Artist","Brasil","Vik Muniz","2"
"Male","21st","Artist","Brasil","Adriana Calcanhotto","1"
"Male","21st","Artist","Netherlands","Daan Roosegaarde","2"
"Male","21st","Artist","Netherlands","Maarten Baas","2"
"Male","21st","Artist","Netherlands","Rineke Dijkstra","2"
"Male","21st","Artist","Netherlands","Afrojack","1"
"Male","21st","Artist","Netherlands","Anton Corbijn","1"
"Male","21st","Artist","United States","Childish Gambino","3"
"Male","21st","Artist","United States","Kanye West","3"
"Male","21st","Artist","United States","Kendrick Lamar","3"
"Male","21st","Artist","United States","Drake","2"
"Male","21st","Artist","United States","Frank Ocean","2"
"Male","21st","Athlete","United States","LeBron James","5"
"Male","21st","Athlete","United States","Tom Brady","5"
"Male","21st","Athlete","United States","Michael Phelps","4"
"Male","21st","Athlete","United States","Tiger Woods","4"
"Male","21st","Athlete","United States","Stephen Curry","3"
"Male","21st","Economist","France","Thomas Piketty","5"
"Male","21st","Economist","France","Philippe Aghion","4"
"Male","21st","Economist","France","Jean Tirole","3"
"Male","21st","Economist","France","Olivier Blanchard","3"
"Male","21st","Economist","France","Esther Duflo","2"
"Male","21st","Economist","Germany","Hans-Werner Sinn","4"
"Male","21st","Economist","Germany","Axel Weber","2"
"Male","21st","Economist","Germany","Clemens Fuest","2"
"Male","21st","Economist","Germany","Marcel Fratzscher","2"
"Male","21st","Economist","Germany","Achim Truger","1"
"Male","21st","Economist","Portugal","Ricardo Reis","3"
"Male","21st","Economist","Portugal","João Santos","2"
"Male","21st","Economist","Portugal","Luís Aguiar-Conraria","2"
"Male","21st","Economist","Portugal","Pedro Pita Barros","2"
"Male","21st","Economist","Portugal","António Afonso","1"
"Male","21st","Economist","Turkey","Daron Acemoglu","3"
"Male","21st","Economist","Turkey","Refet Gürkaynak","2"
"Male","21st","Economist","Turkey","Ahmet Ertoğrul","1"
"Male","21st","Economist","Turkey","Ali Al-Samarrai","1"
"Male","21st","Economist","Turkey","Ayhan Kose","1"
"Male","21st","Economist","United States","Joseph Stiglitz","4"
"Male","21st","Economist","United States","Paul Krugman","4"
"Male","21st","Economist","United States","Ben Bernanke","2"
"Male","21st","Economist","United States","Greg Mankiw","2"
"Male","21st","Inventor","Germany","Stefan Hell","3"
"Male","21st","Inventor","Germany","Peter Grünberg","2"
"Male","21st","Inventor","Germany","Ali Ertürk","1"
"Male","21st","Inventor","Germany","Bernhard Rothmann","1"
"Male","21st","Inventor","Germany","Christoph Brabec","1"
"Male","21st","Inventor","Italy","Federico Faggin","3"
"Male","21st","Inventor","Italy","Andrea Rossi","2"
"Male","21st","Inventor","Italy","Massimo Banzi","2"
"Male","21st","Inventor","Italy","Roberto Cingolani","2"
"Male","21st","Inventor","Italy","Alberto Mantovani","1"
"Male","21st","Musician","Brasil","Criolo","3"
"Male","21st","Musician","Brasil","Emicida","2"
"Male","21st","Musician","Canada","Justin Bieber","5"
"Male","21st","Musician","Canada","Shawn Mendes","5"
"Male","21st","Musician","Canada","The Weeknd","5"
"Male","21st","Musician","Canada","Michael Bublé","4"
"Male","21st","Musician","China","Jay Chou","4"
"Male","21st","Musician","China","Wang Leehom","4"
"Male","21st","Musician","China","Hua Chenyu","2"
"Male","21st","Musician","China","Lang Lang","2"
"Male","21st","Musician","China","Li Ronghao","2"
"Male","21st","Musician","Poland","Dawid Podsiadło","4"
"Male","21st","Musician","Poland","Adam Bałdych","3"
"Male","21st","Musician","Poland","Krzysztof Penderecki","2"
"Male","21st","Musician","Poland","Leszek Możdżer","2"
"Male","21st","Musician","Poland","Marcin Wasilewski","2"
"Male","21st","Philosopher","Argentina","Ricardo Forster","3"
"Male","21st","Philosopher","Argentina","Eduardo Grüner","2"
"Male","21st","Philosopher","Argentina","Adolfo Pérez Esquivel","1"
"Male","21st","Philosopher","Argentina","Adrián Cangi","1"
"Male","21st","Philosopher","Argentina","Alejandro Kaufman","1"
"Male","21st","Philosopher","Germany","Jürgen Habermas","4"
"Male","21st","Philosopher","Germany","Peter Sloterdijk","4"
"Male","21st","Philosopher","Germany","Axel Honneth","3"
"Male","21st","Philosopher","Germany","Rainer Forst","2"
"Male","21st","Philosopher","Germany","Thomas Metzinger","2"
"Male","21st","Philosopher","South Korea","Byung-Chul Han","1"
"Male","21st","Philosopher","South Korea","Cho Dongil","1"
"Male","21st","Philosopher","South Korea","Choi Byonghon","1"
"Male","21st","Philosopher","South Korea","Choi Jae-woo","1"
"Male","21st","Philosopher","South Korea","Choi Jin Ho","1"
"Male","21st","Scientist","Mexico","Adriel Pérez Williams","1"
"Male","21st","Scientist","Mexico","Antonio Lazcano Araujo","1"
"Male","21st","Scientist","Mexico","Arturo Menchaca Rocha","1"
"Male","21st","Scientist","Mexico","Arturo Álvarez-Buylla Roces","1"
"Male","21st","Scientist","Mexico","Carlos Bustamante","1"
"Male","21st","Scientist","Poland","Andrzej Udalski","2"
"Male","21st","Scientist","Poland","Tomasz Dietl","2"
"Male","21st","Scientist","Poland","Adam P. Gawęda","1"
"Male","21st","Scientist","Poland","Aleksander Sikorski","1"
"Male","21st","Scientist","Poland","Andrzej Buras","1"
"Male","21st","Writer","Italy","Alessandro Baricco","4"
"Male","21st","Writer","Italy","Roberto Saviano","4"
"Male","21st","Writer","Italy","Andrea Camilleri","3"
"Male","21st","Writer","Italy","Niccolò Ammaniti","3"
"Male","21st","Writer","Italy","Paolo Giordano","3"
"Male","21st","Writer","Netherlands","Arnon Grunberg","4"
"Male","21st","Writer","Netherlands","Tommy Wieringa","4"
"Male","21st","Writer","Netherlands","Dimitri Verhulst","3"
"Male","21st","Writer","Netherlands","Herman Koch","3"
"Male","21st","Writer","Netherlands","Cees Nooteboom","2"
"Male","21st","Writer","Poland","Andrzej Stasiuk","3"
"Male","21st","Writer","Poland","Wojciech Kuczok","3"
