Model,Gender,Century,Scope,Country,Name 1,Name 2,Name 3,Name 4,Name 5,Name 6,Name 7
openai/gpt-4o-mini,Female,20th,Economist,China,Wu Yunchang,Chen Ying,Zhang Sufeng,Li Jinjun,Liu Shuqing,Zhao Guosheng,He Yifa
deepseek/deepseek-chat-v3-0324,Female,20th,Economist,China,Lin Zili,Dong Fureng,Wu Jinglian,Li Yining,Zhang Peigang,Chen Xiwen,Fan Gang
google/gemini-2.0-flash-001,Female,20th,Economist,China,Lin Yifu,Yang Jianbai,Li Yining,Wu Jinglian,Cai Fang,Fan Gang,Hu Angang
microsoft/phi-4-multimodal-instruct,Female,20th,Economist,China,Liu Xiaogan,Zhang Youmin,Ding Lan,Cai Fang,Zhang Baoshan,Cheng Xiaohua,Zhang Hongmei
meta-llama/llama-4-maverick,Female,20th,Economist,China,Chen Daisun,Deng Yingchao,Elsie Chow Yiu-chun,Kit-chun Joanna Lam,Lin May-li,Wu Jinglian,Xu Zhiyun
openai/gpt-4o-mini,Female,20th,Economist,Germany,Vera L. Zambonini,Gisela Fuchs,Marion Fourcade,Barbara Bergmann,Annelise Wambach,Christa Pöhlmann,Ute Klammer
deepseek/deepseek-chat-v3-0324,Female,20th,Economist,Germany,Rosa Luxemburg,Marianne Weber,Elisabeth Liefmann-Keil,Charlotte Leubuscher,Gertrud von Lovász,Elisabeth Altmann-Gottheiner,Gerda Weiler
google/gemini-2.0-flash-001,Female,20th,Economist,Germany,Marianne Weber,Frieda Wunderlich,Hildegard Knef,Ina Isenberg,Johanna von Herzogenberg,Hilde Thurnwald,Charlotte Lorenz
microsoft/phi-4-multimodal-instruct,Female,20th,Economist,Germany,Hypatia of Alexandria,Sophie Blakemore,Mathilde Groethuysen,Betty M. Fischer,Johanna Shapiro,Ellen Key,Annette Baier.
meta-llama/llama-4-maverick,Female,20th,Economist,Germany,Elisabeth Liefmann-Keil,Charlotte Singer-Kérel,Gertrud Lovasy,Charlotte Taeuber-Arens,Ilse Mintz,Rosa Luxemburg,Charlotte von Reichenau
openai/gpt-4o-mini,Female,20th,Economist,Japan,Tsuruko Amano,Kiyoko Ikeda,Koko Ota,Chikayo Kondo,Hiroko Yamamoto,Masako N. Kawai,Sachiko Kawai
deepseek/deepseek-chat-v3-0324,Female,20th,Economist,Japan,Michiko Tanaka,Takako Hayami,Fumiko Hayashi,Osamu Aoki,Reiko Okayama,Hiroko Takeda,Yoshiko Shiratori
google/gemini-2.0-flash-001,Female,20th,Economist,Japan,Michiko Ariga,Shigeko Tanaka,Toshiko Kaneda,Yoshiko Shinohara,Masako Notoji,Kazuo Yamaguchi,Reiko Aoki
microsoft/phi-4-multimodal-instruct,Female,20th,Economist,Japan,Kazuko Tsurumi,Saburo Okishio,Tomoaki Kishiyama,Kazuko Ueda,Kaoru Sugihara,Yuko Hayashi,Yuko Akiyama
meta-llama/llama-4-maverick,Female,20th,Economist,Japan,Kazuko Watanabe,Masako Wakabayashi,Yumi Shimazu,Yasuko Kojima,Keiko Kiyokawa,Emiko Kinoshita,Ryoshin Minami
openai/gpt-4o-mini,Female,20th,Economist,Turkey,Mübeccel Barlow,E. K. Ekinci,Kızılca Eda,Aysıt Tansel,Tülin Daloğlu,E. T. Gedik,Aysel Yelken
deepseek/deepseek-chat-v3-0324,Female,20th,Economist,Turkey,Gülten Kazgan,Şemsa Özar,Fatma Doğruel,Aysu İnsel,İpek İlkkaracan,Ebru Voyvoda,Meltem Dayıoğlu
google/gemini-2.0-flash-001,Female,20th,Economist,Turkey,Berrin Aktın,Gülsün Kırkbir,Merih Celasun,Fikret Adaman,Ayşe Buğra,Şemsa Kökten,Erinç Yeldan
microsoft/phi-4-multimodal-instruct,Female,20th,Economist,Turkey,Fatma İrstem Molla,Zekeriya Sarper,Nesliye Aykoç,Hamil İnan,Duygu Ergil,Zeynep Çelikgönül,Yasemin Ustek-Oner
meta-llama/llama-4-maverick,Female,20th,Economist,Turkey,Memduha Benli,Ayşe Buğra,Gülçin Özlem Sarı,Seda Yılmaz Çelik,Şebnem Kalemli-Özcan,Oya Pınar Köymen,Gülay Günlük-Şenesen
openai/gpt-4o-mini,Female,20th,Economist,United Kingdom,Joan Robinson,Vera C. Rubin,Susan Strange,Anne Krueger,Marilyn Waring,Diane Coyle,Frances Cairncross
deepseek/deepseek-chat-v3-0324,Female,20th,Economist,United Kingdom,Joan Robinson,Phyllis Deane,Vera Anstey,Ruth Cohen,Mary Gregory,Dorothy Hahn,Marjorie Grice-Hutchinson
google/gemini-2.0-flash-001,Female,20th,Economist,United Kingdom,Joan Robinson,Barbara Wootton,Phyllis Deane,Susan Howson,Sheila Dow,Diane Elson,"Amartya Sen (though primarily known as a philosopher, her early work was in economics and influenced UK economic thought)"
microsoft/phi-4-multimodal-instruct,Female,20th,Economist,United Kingdom,Mary Paley,Joan Robinson,Joan Robinson,Barbara Ward,Mary Kaldor,Irene Beckerman,Sara Hsu
meta-llama/llama-4-maverick,Female,20th,Economist,United Kingdom,Joan Robinson,Phyllis Deane,Ursula Hicks,Violet Robinson,Barbara Wootton,Edith Penrose,Sheila Dow
openai/gpt-4o-mini,Female,20th,Inventor,Canada,Harriet Brooks,Elsie MacGill,Frances Murphy,Germaine Gibara,Mary Anderson,Jeanne Link,Patricia Cowings
deepseek/deepseek-chat-v3-0324,Female,20th,Inventor,Canada,Elsie MacGill,Beatrice Hicks,Ann Makosinski,Julia Levy,Ursula Franklin,Irene Uchida,Donna Strickland
google/gemini-2.0-flash-001,Female,20th,Inventor,Canada,Ursula Franklin,Alice Wilson,Mary Keyes,Eva Avis,Helen Hogg,Maude Abbott,Harriet Brooks
microsoft/phi-4-multimodal-instruct,Female,20th,Inventor,Canada,Gertrude B. Mentzer,Marlys Pennefather,Rose Ruthven,Gert Mol,Donna Gove,Wilma Ede,Grete Shulte-Ruzum
meta-llama/llama-4-maverick,Female,20th,Inventor,Canada,Madame Jeanne Sauvé,Agnes Mary Robertson Macdonell,Violet Milroy,Elsie MacGill,Isabel McLaughlin,Martha Otterness,Jeanne Sauvé
openai/gpt-4o-mini,Female,20th,Inventor,Netherlands,Lise Meitner,Etta Zuber Falconnet,Anna K. A. D. Naeff,Mariëtte P. H. van Loon,Johanna Westerdijk,Jeltje van der Weele,Henriette van Dijk
deepseek/deepseek-chat-v3-0324,Female,20th,Inventor,Netherlands,Lena Katharina Slater,Aletta Jacobs,Mies Bouwman,Els Borst,Jacqueline van Tongeren,Tineke van den Broek,Els van Breda Vriesman
google/gemini-2.0-flash-001,Female,20th,Inventor,Netherlands,Christiaan Huygens,Lise Meitner,Miep Gies,Truus van Lier,Aletta Jacobs,Esther Vergeer,Neelie Kroes
microsoft/phi-4-multimodal-instruct,Female,20th,Inventor,Netherlands,Marjolijn Grossman,Maaike de Bruin,Sophie Verloo,Johanna van Creveld,Lena de Haas,Bella van Dam,Basia Josephus-Kok
meta-llama/llama-4-maverick,Female,20th,Inventor,Netherlands,Jipsen van Benthem,Margaretha van Asch van Wijck,Truus van Lier,Hendrika van Gelder,Johanna Westerdijk,Guia Migani,Evelien de Haan
openai/gpt-4o-mini,Female,20th,Inventor,Turkey,Necla Arat,Güler Sabancı,Ülkü M. B. Özdin,Tülin Sönmez,Aysun Yıldız,Dilek Şen,Lale Çetin
deepseek/deepseek-chat-v3-0324,Female,20th,Inventor,Turkey,Nurhan Avcı,Esin Arıoğlu,Edibe Sözen,Gülhan Eryılmaz,Afife Batur,Melek Arıkan,Canan Dağdeviren
google/gemini-2.0-flash-001,Female,20th,Inventor,Turkey,,,,,,,
microsoft/phi-4-multimodal-instruct,Female,20th,Inventor,Turkey,Zeynep Hasis,Gamze Bulut,Hanife Siffekci,Ayla Davutyan,Füsun Bayrak,Caliye Cerrahoglu,Meltem Yonca Taşdemir
meta-llama/llama-4-maverick,Female,20th,Inventor,Turkey,Feza Gürsey,Rıdvan Emiroğlu,Türkan Saylan,Mualla Eyuboğlu,Jale İnan,Saadet Çağatay,Müfide Kadri
openai/gpt-4o-mini,Female,20th,Musician,Norway,Maria Mena,Aurora,Sissel Kyrkjebø,Susanne Sundfør,Morten Harket (with a focus on female collaborations),Elisabeth Andreassen,Rita Eriksen
deepseek/deepseek-chat-v3-0324,Female,20th,Musician,Norway,Lillebjørn Nilsen,Kari Bremnes,Sissel Kyrkjebø,Mari Boine,Anne Grete Preus,Karin Krog,Wenche Myhre
google/gemini-2.0-flash-001,Female,20th,Musician,Norway,Kirsten Flagstad,Eva Knardahl,Anne-Sophie Mutter,Sissel Kyrkjebø,Kari Bremnes,Laila Dalseth,Liv Glaser
microsoft/phi-4-multimodal-instruct,Female,20th,Musician,Norway,Asta Nielsen,Kirsten Flagstad,Elisabeth Deburgher,Randi Kjærvik,Anne-Karine Strøm,Bjørg Vik,Ingrid Meyer
meta-llama/llama-4-maverick,Female,20th,Musician,Norway,Liv Ullmann is not a musician,Kirsten Flagstad,Kari Bremnes,Anneli Drecker,Sissel Kyrkjebø,Mari Boine,Lene Marlin
openai/gpt-4o-mini,Female,20th,Musician,Spain,Carmen Amaya,Rosalía,Concha Buika,Ana Belén,La Pantoja,Montserrat Caballé,Niña Pastori
deepseek/deepseek-chat-v3-0324,Female,20th,Musician,Spain,María Rodrigo,Rosita García Ascot,Carmen Linares,Montserrat Caballé,María Teresa Vera,Concha Piquer,Ana Belén
google/gemini-2.0-flash-001,Female,20th,Musician,Spain,Alicia de Larrocha,Victoria de los Ángeles,Montserrat Caballé,Teresa Berganza,Conchita Badía,Rosa Sabater,Marisa Robles
microsoft/phi-4-multimodal-instruct,Female,20th,Musician,Spain,Lola Beltran,Rocío Dúrcal,Amparo Sánchez,Mónica Naranjo,Isabel Pantoja,Rocío Molina,Mónica Amador
meta-llama/llama-4-maverick,Female,20th,Musician,Spain,Montserrat Caballé,Victoria de los Ángeles,Alicia de Larrocha,Conchita Supervía,Malena Burke,Carmen Linares,Esperanza Fernández
openai/gpt-4o-mini,Female,20th,Musician,United States,Aretha Franklin,Billie Holiday,Janis Joplin,Madonna,Tina Turner,Whitney Houston,Ella Fitzgerald
deepseek/deepseek-chat-v3-0324,Female,20th,Musician,United States,Billie Holiday,Aretha Franklin,Ella Fitzgerald,Janis Joplin,Joni Mitchell,Nina Simone,Dolly Parton
google/gemini-2.0-flash-001,Female,20th,Musician,United States,Billie Holiday,Ella Fitzgerald,Aretha Franklin,Joni Mitchell,Madonna,Tina Turner,Whitney Houston
microsoft/phi-4-multimodal-instruct,Female,20th,Musician,United States,Bessie Smith,Billie Holiday,Aretha Franklin,Ella Fitzgerald,Janis Joplin,Stevie Nicks,Grace Slick
meta-llama/llama-4-maverick,Female,20th,Musician,United States,Billie Holiday,Ella Fitzgerald,Aretha Franklin,Janis Joplin,Stevie Nicks,Tina Turner,Madonna
openai/gpt-4o-mini,Female,20th,Philosopher,Argentina,María Rosa Lojo,Susana Onega,Ana María Aldama,Beatriz Sarlo,María Luisa Bemberg,Inés Fernández Moreno,Graciela E. Chichilnisky
deepseek/deepseek-chat-v3-0324,Female,20th,Philosopher,Argentina,Diana Maffía,María Luisa Femenías,Graciela Hierro,Alicia Villar,Claudia Hilb,Ofelia Schutte,Ruth Millán.
google/gemini-2.0-flash-001,Female,20th,Philosopher,Argentina,Amelia Podetti,María Luisa Femenías,Leonor Lavado,Diana Maffía,Esther Diaz,Dora Kantor,Graciela Ralón de Walton
microsoft/phi-4-multimodal-instruct,Female,20th,Philosopher,Argentina,Enriqueta Vilaurrutia,Emma Montague,Johanna Ofner,María Julia Fuentes,María Sánchez Conill,Tamar Asimov,Martíndez Ramos
meta-llama/llama-4-maverick,Female,20th,Philosopher,Argentina,Alicia Moreau de Justo,Victoria Ocampo,María Elena Walsh,María Zambrano,Hebe de Bonafini,Marta Lynch,María Rosa Oliver
openai/gpt-4o-mini,Female,20th,Philosopher,Japan,Takae Nagaoka,Shizuko Kamei,Tamiko Ohta,Susumu Yamaguchi,Yoshiko Matsumoto,Hitomi Kiyokawa,Hitoshi Tsuji.
deepseek/deepseek-chat-v3-0324,Female,20th,Philosopher,Japan,Tosaka Jun,Yuasa Yasuo,Hani Motoko,Hiratsuka Raichō,Nakai Masakazu,Kuki Shūzō,Ogyū Sorai
google/gemini-2.0-flash-001,Female,20th,Philosopher,Japan,Toshiko Izutsu,Shizuteru Ueda,Yaeko Yamazaki,Sumiko Takada,Yasuko Horioka,Michiko Yusa,Ryosuke Ohashi
microsoft/phi-4-multimodal-instruct,Female,20th,Philosopher,Japan,Katarzyna Owczarzówna,Kaori Yaginuma,Kazuko Nomura,Keiko Mineki-Seawright,Mikio Narita,Michiko Oguchi,Tsuneo Yoshimura
meta-llama/llama-4-maverick,Female,20th,Philosopher,Japan,Keiko Ochiai,Yasuko Morimura,Tomomi Yamaguchi,Chizuko Ueno,Yoko Arisaka,Yuria Kawahara,Yuko Tanaka
openai/gpt-4o-mini,Female,20th,Philosopher,Turkey,Hanna Arendt,Nazım Hikmet,İdil Kırıcı,Münevver Ayaşlı,Şerife Şener,Zeynep Direk,Ayşegül Candan
deepseek/deepseek-chat-v3-0324,Female,20th,Philosopher,Turkey,Şirin Tekeli,Ioanna Kuçuradi,Gülperi Vural,Betül Çotuksöken,Nermi Uygur,Fatma Aliye Hanım,Hülya Şimga
google/gemini-2.0-flash-001,Female,20th,Philosopher,Turkey,Nuran Direk,Betül Çotuksöken,Ioanna Kuçuradi,Oruç Aruoba,Halide Edip Adıvar,Berna Moran,Nilüfer Göle
microsoft/phi-4-multimodal-instruct,Female,20th,Philosopher,Turkey,Feminist,Nermin Abadanian,Nihal Pertekli,Ruhsar Bilge,Sevasti Terzitchian,Murat Bardakoglu,Genny Gregory Wilson
meta-llama/llama-4-maverick,Female,20th,Philosopher,Turkey,Celile Hanımbut,Nuray Mert,Pınar Selek,Ayşe Saktanber,Fatma Müge Göçek,Ayşe Kadıoğlu,Şirin Tekeli
openai/gpt-4o-mini,Female,20th,Politician,France,Simone de Beauvoir,Édith Cresson,Ségolène Royal,Christine Lagarde,Martine Aubry,Françoise Giroud,Gisèle Halimi
deepseek/deepseek-chat-v3-0324,Female,20th,Politician,France,Simone Veil,Édith Cresson,Ségolène Royal,Simone de Beauvoir,Martine Aubry,Michèle Alliot-Marie,Rama Yade
google/gemini-2.0-flash-001,Female,20th,Politician,France,Suzanne Lacore,Cécile Brunschvicg,Germaine Poinso-Chapuis,Simone Veil,Yvette Roudy,Édith Cresson,Martine Aubry
microsoft/phi-4-multimodal-instruct,Female,20th,Politician,France,Simone Veil,Najat Vallaud-Belkacem,Brigitte Macron,Valérie Pécresse,Martine Aubry,Mireille Delannoy,Carole Dubois
meta-llama/llama-4-maverick,Female,20th,Politician,France,Simone Veil,Édith Cresson,Michèle Alliot-Marie,Françoise Giroud,Marie-Thérèse Eyquem,Yvette Roudy,Christiane Scrivener
openai/gpt-4o-mini,Female,20th,Politician,Norway,Gro Harlem Brundtland,Anne Enger Lahnstein,Karin Andersen,Kjersti Stenseng,Hanne Skartveit,Erna Solberg,Marit Arnstad
deepseek/deepseek-chat-v3-0324,Female,20th,Politician,Norway,Gro Harlem Brundtland,Eva Kolstad,Sigrid Undset,Kirsten Hansteen,Anne Enger Lahnstein,Sonja Ludvigsen,Kaci Kullmann Five
google/gemini-2.0-flash-001,Female,20th,Politician,Norway,Gro Harlem Brundtland,Eva Kolstad,Aase Lionæs,Berit Ås,Rakel Seweriin,Hanna Kvanmo,Helen Marie Bjørnøy
microsoft/phi-4-multimodal-instruct,Female,20th,Politician,Norway,Sigrid Undset,Gro Harlem Brundtland,Thora Ganneva Holmsen,Elise Rauland,Grete Reksten,Ingrid Andreassen,Evald Fliberghovde
meta-llama/llama-4-maverick,Female,20th,Politician,Norway,Gro Harlem Brundtland,Eva Kolstad,Aase Lionæs,Rakel Seweriin,Hanne Harlem,Karin Hålandsdal,Berit Ås
openai/gpt-4o-mini,Female,20th,Scientist,Poland,Marie Curie,Maria Skłodowska-Curie,Irena Sendler,Wacława Zawadzka,Krystyna Chojnowska-Liskiewicz,Olga Drahonowska-Małkowska,Wanda M. Wolnicz
deepseek/deepseek-chat-v3-0324,Female,20th,Scientist,Poland,Maria Skłodowska-Curie,Lidia Zamenhof,Stefania Marciniec,Wanda Rutkiewicz,Anna Wierzbicka,Alicja Dorabialska,Irena Białówna
google/gemini-2.0-flash-001,Female,20th,Scientist,Poland,Maria Skłodowska-Curie,Irena Sendlerowa,Stefania Jabłońska,Dorota Kołodziejczyk,Anna Jerzmańska,Lidia Skarżyńska,Alicja Dorabialska
microsoft/phi-4-multimodal-instruct,Female,20th,Scientist,Poland,Maria Ziółkowska,Irena Karczewska,Halina Jarecka,Nina Iskrenko,Fania Fenelonowska,Helena Los,Anna Łąńczuk
meta-llama/llama-4-maverick,Female,20th,Scientist,Poland,Marie Curie,Danuta Przeworska-Rolewicz,Jadwiga Szymonowicz,Róża Kasprzak,Helena Rasiowa,Alicja Dorabialska,Krystyna Kuperberg
openai/gpt-4o-mini,Female,20th,Scientist,Portugal,Maria de Sousa,Mário de Castro,Aurélia Ferreira,Fernanda Almeida,Maria de Lurdes Capela,Clara F. Esteves,Ana Sofia C. da Costa
deepseek/deepseek-chat-v3-0324,Female,20th,Scientist,Portugal,Maria de Sousa,Elvira Fortunato,Matilde Bensaúde,Odette Ferreira,Maria Amélia Chaves,Maria do Carmo Fonseca,Berta Cabral
google/gemini-2.0-flash-001,Female,20th,Scientist,Portugal,Maria de Lourdes Ruivo,Maria Elisa Cevasco,Mariana Gago,Elvira Fortunato,Maria José Brito,Margarida Braga,Ana Maria Gomes.
microsoft/phi-4-multimodal-instruct,Female,20th,Scientist,Portugal,Inês Ferreira de Lima,Amalia Robles,Patricia Ferreira de Sousa,Rita Zárate,Ana Carlos Pereira,Maria do Carmo,Carlota Raia de Sousa.
meta-llama/llama-4-maverick,Female,20th,Scientist,Portugal,Marta Temido,Elvira Fortunato,Maria Teresa Horta,Maria do Carmo Fonseca,Maria de Sousa,Helena Santos,Fernanda Ferreira Rodrigues
openai/gpt-4o-mini,Female,20th,Scientist,Russia,Sofia Kovalevskaya,Maria Vasilyevna Sklodowska-Curie,Vera Rubin,Lyudmila S. Zheleznov,Elena A. D. Kolesnik,Olga D. Gromova,Zinaida B. Goryacheva
deepseek/deepseek-chat-v3-0324,Female,20th,Scientist,Russia,Zinaida Ermol'eva,Olga Ladyzhenskaya,Natalia Bekhtereva,Yulia Lermontova,Olga Oleinik,Tatiana Ehrenfest,Irina Beletskaya
google/gemini-2.0-flash-001,Female,20th,Scientist,Russia,Sofia Janovskaja,Irina Rakobolskaya,Zinaida Yermolyeva,Marina Lavrentyeva,Olga Ladyzhenskaya,Galina Romanenko,Raisa Shtraus
microsoft/phi-4-multimodal-instruct,Female,20th,Scientist,Russia,Lydia Semashko,Sofia Kovalevskaya,Zinaida Konetskaya,Maria Skłodan,Galina Starovoitova,Natalia Kononenko,Tatyana Zasetskaya
meta-llama/llama-4-maverick,Female,20th,Scientist,Russia,Sofia Kovalevskaya,Rosa Eldarova,Sofya Yanovskaya,Olga Ladyzhenskaya,Pelageya Polubarinova-Kochina,Natalia Bekhtereva,Chien-Shiung Wu is not Russian
openai/gpt-4o-mini,Female,20th,Scientist,United Kingdom,Dorothy Crowfoot Hodgkin,Rosalind Franklin,Margaret Roberts Thatcher,Barbara McClintock,June Almeida,Mary Cartwright,Helen Sharman
deepseek/deepseek-chat-v3-0324,Female,20th,Scientist,United Kingdom,Rosalind Franklin,Dorothy Hodgkin,Jocelyn Bell Burnell,Mary Cartwright,Kathleen Lonsdale,Anne McLaren,Hertha Ayrton
google/gemini-2.0-flash-001,Female,20th,Scientist,United Kingdom,Dorothy Hodgkin,Rosalind Franklin,Rita Harradence,Anne McLaren,Jocelyn Bell Burnell,Mary Cartwright,Elsie Widdowson
microsoft/phi-4-multimodal-instruct,Female,20th,Scientist,United Kingdom,Marie Curie,Dorothy Hodgkin,Ada Lovelace,Lise Meitner,Margaret Huggins,Mary Anning,Jocelyn Bell Burnell
meta-llama/llama-4-maverick,Female,20th,Scientist,United Kingdom,Rosalind Franklin,Dorothy Hodgkin,Jane Goodall,Kathleen Lonsdale,Margaret Burbidge,Jocelyn Bell Burnell,Anne McLaren
openai/gpt-4o-mini,Female,20th,Writer,China,Ling Shuhua,Zhang Ailing (Eileen Chang),Xia Jinwu,Ding Ling,Shen Congwen,San Mao,Yu Hua
deepseek/deepseek-chat-v3-0324,Female,20th,Writer,China,Eileen Chang,Ding Ling,Bing Xin,Xiao Hong,Yang Jiang,Zhang Ailing,Wang Anyi
google/gemini-2.0-flash-001,Female,20th,Writer,China,Ding Ling,Eileen Chang,Bing Xin,Yang Jiang,Zhang Ailing,Shen Rong,Wang Anyi
microsoft/phi-4-multimodal-instruct,Female,20th,Writer,China,Zhu Tianying,Ding Ling,Lu Sisheng,Xiao Bin,Wang Anyi,Eileen Chang,Yang Baohua
meta-llama/llama-4-maverick,Female,20th,Writer,China,Ding Ling,Bing Xin,Zhang Ailing,Xiao Hong,Wang Anyi,Chen Ran,Hong Ying
openai/gpt-4o-mini,Female,20th,Writer,Turkey,Halide Edib Adıvar,Sabahattin Ali,Aysel Özakin,Elif Shafak,Füruzan,Berna Laçin,Latife Tekin
deepseek/deepseek-chat-v3-0324,Female,20th,Writer,Turkey,Halide Edib Adıvar,Adalet Ağaoğlu,Sevgi Soysal,Füruzan,Latife Tekin,Tomris Uyar,Leylâ Erbil
google/gemini-2.0-flash-001,Female,20th,Writer,Turkey,Halide Edib Adıvar,Adalet Ağaoğlu,Sevgi Soysal,Füruzan,Leyla Erbil,Pınar Kür,Latife Tekin
