Name,Gender,Century,Scope,Country,DeepSeek_top5_keywords,DeepSeek_sent_neg,DeepSeek_sent_neu,DeepSeek_sent_pos,DeepSeek_sent_compound,DeepSeek_polarity,DeepSeek_subjectivity,Gemini_top5_keywords,Gemini_sent_neg,Gemini_sent_neu,Gemini_sent_pos,Gemini_sent_compound,Gemini_polarity,Gemini_subjectivity,Llama_top5_keywords,Llama_sent_neg,Llama_sent_neu,Llama_sent_pos,Llama_sent_compound,Llama_polarity,Llama_subjectivity,Phi_top5_keywords,Phi_sent_neg,Phi_sent_neu,Phi_sent_pos,Phi_sent_compound,Phi_polarity,Phi_subjectivity,ChatGPT_top5_keywords,ChatGPT_sent_neg,ChatGPT_sent_neu,ChatGPT_sent_pos,ChatGPT_sent_compound,ChatGPT_polarity,ChatGPT_subjectivity
Lee Bul,Female,20th,Artist,South Korea,"bul, lee, korea, south, noon",0.067,0.806,0.127,0.872,0.0495833333333333,0.3433333333333333,"bul, lee, utopian, korea, art",0.012,0.83,0.158,0.9839,0.1292878787878787,0.5105151515151516,"lee, bul, installations, forms, art",0.025,0.861,0.113,0.9664,0.1920707070707071,0.4944949494949495,"bul, lee, clear, snowman, sung",0.012,0.836,0.152,0.9625,0.1661111111111111,0.3772222222222222,"lee, bul, art, sculptures, biennale",0.015,0.839,0.146,0.9868,0.1866907713498622,0.4786157024793389
Yun Hyong-keun,Female,20th,Artist,South Korea,"yun, korean, dansaekhwa, monochrome, linen",0.078,0.819,0.103,0.5423,0.0553685897435897,0.3413461538461538,"yun, korean, dansaekhwa, hyong, keun",0.059,0.882,0.059,-0.4588,0.0796207264957264,0.4796474358974359,"yun, abstract, korean, korea, painting",0.071,0.858,0.071,0.0472,0.1387963485789572,0.4554253717297196,"yun, korean, hyong, keun, literature",0.0,0.852,0.148,0.9832,0.1535714285714286,0.3476190476190476,"yun, korean, art, paintings, avant",0.012,0.838,0.149,0.9886,0.1276785714285714,0.4794642857142857
Chun Kyung-Ja,Female,20th,Artist,South Korea,"chun, art, korean, ja, kyung",0.0,0.803,0.197,0.9891,0.1452380952380952,0.5087797619047619,"chun, korean, art, ja, kyung",0.042,0.808,0.15,0.9776,0.1801332288401253,0.5559038662486939,"korean, chun, art, painting, korea",0.012,0.9,0.088,0.9273,0.2116666666666666,0.5106666666666666,"chun, kyung, ja, korean, literary",0.027,0.811,0.162,0.9893,0.11640625,0.2453124999999999,"chun, ja, women, kyung, korean",0.036,0.821,0.143,0.979,0.1237373737373737,0.4366477272727272
Kim Whanki,Female,20th,Artist,South Korea,"whanki, korean, kim, modernism, abstraction",0.0,0.897,0.103,0.9452,0.1487373737373737,0.5006060606060606,"art, whanki, abstract, korean, kim",0.036,0.938,0.026,-0.4588,0.0793807641633728,0.4223320158102766,"whanki, kim, korean, abstract, art",0.023,0.897,0.08,0.9041,0.1770316804407713,0.5990702479338843,"whanki, korean, guest, south, iowa",0.107,0.709,0.183,0.9731,0.0564516129032258,0.4166666666666666,"whanki, art, abstraction, korea, york",0.02,0.893,0.088,0.9427,0.0818686868686868,0.3889141414141414
Park Soo-keun,Female,20th,Artist,South Korea,"washerwomen, korean, menial, pyongan, monochromatic",0.062,0.771,0.167,0.9211,0.0027777777777777,0.3819444444444445,"korean, park, 1965, squares, financial",0.116,0.75,0.134,0.2624,0.0511111111111111,0.5126984126984128,"keun, soo, art, park, korean",0.091,0.783,0.126,0.8354,0.1085576923076923,0.4146336996336996,"park, korean, keun, soo, korea",0.071,0.823,0.105,0.8519,0.0569444444444444,0.3225694444444444,"korean, park, korea, keun, soo",0.085,0.79,0.125,0.7876,0.1473484848484848,0.4954545454545453
Hitomi Kinue,Female,20th,Athlete,Japan,"kinue, 1928, nyonin, nikutai, geijutsu",0.12,0.782,0.098,-0.4404,0.1980392156862745,0.5004901960784314,"hitomi, jump, kinue, women, japanese",0.053,0.796,0.151,0.9716,0.2086956521739131,0.4695652173913043,"hitomi, athletics, kinue, japan, 800m",0.0,0.836,0.164,0.9918,0.170679012345679,0.396031746031746,"kinue, japanese, translation, translator, translating",0.0,0.842,0.158,0.9882,0.008695652173913,0.2101449275362319,"kinue, hitomi, japan, kōfu, japanese",0.031,0.835,0.134,0.9821,0.0963541666666666,0.3703124999999999
Kazumi Watanabe,Female,20th,Athlete,Japan,"watanabe, jazz, fusion, formed, band",0.0,0.871,0.129,0.969,0.1365384615384615,0.4211538461538461,"jazz, watanabe, fusion, educator, musicians",0.013,0.86,0.127,0.9583,0.1206060606060606,0.3559090909090909,"mobo, watanabe, jazz, ryuichi, sakamoto",0.0,0.906,0.094,0.932,0.1392156862745098,0.396078431372549,"watanabe, japanese, kazumi, literary, shinkankakuha",0.023,0.883,0.094,0.9735,0.10835326953748,0.3825956937799042,"watanabe, jazz, kazumi, japan, john",0.008,0.819,0.173,0.991,0.1327380952380952,0.4470238095238095
Masako Chiba,Female,20th,Athlete,Japan,"chiba, japanese, literature, fireflies, masako",0.062,0.808,0.13,0.9345,0.1398148148148147,0.3800925925925926,"chiba, japanese, literary, cues, marker",0.038,0.816,0.145,0.9709,0.0928921568627451,0.3865196078431373,"chiba, nagasaki, peace, bombing, atomic",0.131,0.705,0.164,0.837,0.0217948717948718,0.5192307692307692,"chiba, japanese, works, cocktail, masako",0.0,0.866,0.134,0.9623,0.0826923076923076,0.2243589743589744,"chiba, masako, japanese, writing, literary",0.02,0.85,0.13,0.9776,0.0909579667644183,0.3471896383186705
Naoko Takahashi,Female,20th,Athlete,Japan,"marathon, takahashi, sydney, japanese, running",0.018,0.825,0.157,0.9834,0.295,0.3684259259259259,"takahashi, marathon, japan, running, koide",0.0,0.765,0.235,0.9947,0.2693636363636363,0.4859393939393939,"marathon, takahashi, women, record, japanese",0.0,0.892,0.108,0.9595,0.1859649122807017,0.3451754385964912,"takahashi, japanese, caramel, fantasy, magic",0.013,0.769,0.217,0.996,0.2166666666666666,0.4693181818181818,"takahashi, marathon, olympic, athletics, determination",0.0,0.771,0.229,0.9952,0.2185664335664335,0.3826573426573426
Yuko Arimori,Female,20th,Athlete,Japan,"marathon, arimori, olympics, sports, japan",0.0,0.824,0.176,0.9803,0.1285714285714286,0.3714285714285714,"arimori, running, marathon, japanese, barcelona",0.0,0.754,0.246,0.9961,0.1203968253968253,0.3462698412698412,"arimori, marathon, japanese, medal, sports",0.016,0.698,0.286,0.9966,0.3101449275362318,0.4807971014492754,"arimori, yuko, fiction, science, genre",0.0,0.84,0.16,0.984,0.2013157894736842,0.4043859649122807,"arimori, marathon, yuko, running, japan",0.0,0.806,0.194,0.9891,0.2518115942028985,0.5373188405797101
Arantxa Sánchez Vicario,Female,20th,Athlete,Spain,"vicario, sánchez, doubles, tennis, titles",0.102,0.757,0.141,0.7783,0.2075,0.43,"vicario, spain, doubles, open, sánchez",0.071,0.756,0.173,0.974,0.2211111111111111,0.3855555555555555,"doubles, tennis, titles, open, singles",0.027,0.805,0.168,0.9871,0.2183333333333333,0.4208333333333333,"vicario, sánchez, tennis, spanish, open",0.036,0.771,0.193,0.9914,0.2197358197358197,0.4253302253302253,"vicario, tennis, sánchez, doubles, arantxa",0.04,0.789,0.17,0.9869,0.2023076923076923,0.4848717948717949
Teresa Perales,Female,20th,Athlete,Spain,"paralympic, perales, sports, neuropathy, matching",0.031,0.817,0.152,0.9743,0.2097222222222222,0.5208333333333334,"perales, paralympic, spanish, sydney, games",0.032,0.843,0.125,0.9702,0.203125,0.4822916666666667,"perales, paralympic, sports, accessibility, spanish",0.012,0.766,0.222,0.9945,0.2361111111111111,0.3953703703703703,"perales, chicana, teresa, mexican, american",0.012,0.904,0.084,0.9377,0.155,0.3423333333333332,"perales, swimming, paralympic, teresa, sports",0.027,0.782,0.191,0.992,0.1924603174603174,0.5119047619047619
Conchita Martínez,Female,20th,Athlete,Spain,"martínez, tennis, spain, wimbledon, player",0.042,0.765,0.193,0.982,0.265,0.4316666666666666,"martínez, tennis, conchita, spanish, professional",0.02,0.82,0.16,0.9871,0.1816666666666666,0.3654761904761904,"martínez, title, singles, wta, win",0.031,0.754,0.214,0.9923,0.3103448275862069,0.4160919540229885,"martínez, tennis, conchita, slam, vicario",0.06,0.748,0.192,0.9872,0.2723039215686274,0.589950980392157,"martínez, tennis, wta, spain, open",0.02,0.803,0.176,0.9858,0.1969755244755245,0.5039568764568765
Mireia Belmonte,Female,20th,Athlete,Spain,"butterfly, belmonte, medley, 200m, individual",0.024,0.831,0.145,0.9792,0.1875,0.41125,"belmonte, butterfly, freestyle, swimmer, 200m",0.042,0.77,0.188,0.9856,0.2210526315789473,0.463157894736842,"belmonte, 200m, medley, european, 400m",0.0,0.842,0.158,0.9872,0.1807692307692307,0.3705128205128205,"mireia, belmonte, swimming, athlete, paralympics",0.0,0.773,0.227,0.9948,0.22875,0.4425,"swimming, belmonte, 200m, butterfly, swimmers",0.0,0.807,0.193,0.9913,0.2047619047619047,0.4386904761904762
Ruth Beitia,Female,20th,Athlete,Spain,"beitia, athletics, spanish, championships, rfea",0.0,0.833,0.167,0.9825,0.1688235294117647,0.3449019607843137,"beitia, athletics, consistent, outdoors, indoors",0.006,0.772,0.222,0.9942,0.1118390804597701,0.3298275862068964,"beitia, indoor, championships, european, jump",0.0,0.746,0.254,0.9961,0.2436999999999999,0.3941333333333333,"beitia, gold, athletes, medals, youth",0.0,0.775,0.225,0.9904,0.1801851851851852,0.3573148148148148,"beitia, athletics, indoor, championships, athletes",0.006,0.763,0.231,0.9952,0.1719166666666666,0.3957222222222222
Beatriz Nofal,Female,20th,Economist,Argentina,"trade, nofal, economic, aires, buenos",0.012,0.904,0.084,0.9136,0.0573529411764705,0.2147058823529412,"nofal, industrial, trade, economic, consultant",0.0,0.865,0.135,0.9766,0.1347222222222222,0.3833333333333334,"nofal, idb, trade, development, economics",0.0,0.946,0.054,0.872,0.14375,0.3095833333333334,"nofal, argentine, buenos, aires, vendida",0.065,0.832,0.103,0.765,0.0288888888888888,0.3044444444444444,"nofal, argentine, aires, buenos, literature",0.016,0.845,0.139,0.9846,0.1089545454545454,0.3408484848484847
Adela Azar,Female,20th,Economist,Argentina,"azar, aires, buenos, adela, carry",0.0,0.925,0.075,0.9118,0.112719298245614,0.3969298245614035,"azar, adela, american, shifts, short",0.013,0.904,0.083,0.9062,0.1299873737373737,0.4626893939393939,"azar, mexico, mexican, journalism, city",0.026,0.863,0.111,0.9719,0.0859848484848484,0.3215909090909091,"azar, romanian, romania, barbu, cafenea",0.059,0.848,0.093,0.8319,0.1266025641025641,0.4080128205128205,"azar, adela, literature, california, diverse",0.007,0.845,0.148,0.9823,0.1306389986824769,0.4363570487483529
Alicia Kirchner,Female,20th,Economist,Argentina,"kirchner, cristina, cruz, santa, alicia",0.035,0.883,0.082,0.7906,0.1385416666666666,0.3395833333333333,"kirchner, néstor, cruz, santa, alicia",0.018,0.909,0.074,0.8126,0.0774305555555555,0.3121527777777778,"kirchner, social, argentina, néstor, peronist",0.035,0.867,0.099,0.9301,0.0741228070175438,0.2776315789473685,"kirchner, argentine, alicia, folklore, literature",0.021,0.827,0.153,0.9877,0.1203088578088578,0.387674825174825,"kirchner, social, argentine, alicia, plata",0.013,0.884,0.102,0.9607,0.1179012345679012,0.2944444444444444
Alicia R. García-Herrero,Female,20th,Economist,Argentina,"herrero, garcía, asia, senior, economist",0.0,0.96,0.04,0.796,0.082427536231884,0.2572463768115942,"herrero, garcía, asia, bank, tank",0.0,0.96,0.04,0.7906,0.0641975308641975,0.1876543209876543,"herrero, garcía, economics, asia, kong",0.0,0.948,0.052,0.8591,0.092,0.288,"science, herrero, garcía, communication, public",0.0,0.853,0.147,0.9899,0.1612499999999999,0.3966666666666666,"herrero, garcía, economic, bank, asia",0.0,0.931,0.069,0.9118,0.1212365591397849,0.2298387096774193
Ana Maria Martirena-Mantel,Female,20th,Economist,Argentina,"martirena, mantel, monetary, substitution, currency",0.018,0.925,0.057,0.743,0.1308823529411764,0.3034313725490196,"argentine, martirena, argentina, mantel, economic",0.035,0.87,0.095,0.8777,0.1208333333333333,0.2791666666666668,"trade, economic, development, martirena, mantel",0.0,0.979,0.021,0.5574,0.0635057471264367,0.1614942528735632,"martirena, mantel, catalan, prize, barcelona",0.016,0.842,0.142,0.9861,0.1017857142857143,0.4651785714285714,"martirena, mantel, language, learners, education",0.0,0.867,0.133,0.9843,0.1404545454545454,0.3725151515151514
Wu Jinglian,Female,20th,Economist,China,"china, market, economic, economy, jinglian",0.047,0.848,0.106,0.872,0.1535714285714286,0.3827380952380952,"wu, jinglian, market, economic, chinese",0.028,0.824,0.147,0.9819,0.1207407407407407,0.2909876543209876,"wu, china, economic, sent, market",0.016,0.926,0.059,0.8718,0.1003787878787878,0.2928030303030304,"wu, china, jinglian, fudan, economic",0.0,0.935,0.065,0.9306,0.1061827956989247,0.3580645161290322,"wu, china, economic, market, jinglian",0.008,0.876,0.116,0.9781,0.0889784946236559,0.4088709677419354
Cai Fang,Female,20th,Economist,China,"cai, demographic, population, lewis, labor",0.0,0.847,0.153,0.9755,0.1733333333333333,0.3166666666666667,"fang, cai, china, cass, demographic",0.009,0.889,0.101,0.9493,0.1662878787878788,0.3579545454545454,"fang, cai, cass, demographic, population",0.009,0.858,0.133,0.9834,0.1047101449275362,0.2833333333333334,"fang, cai, chinese, revolution, restored",0.016,0.846,0.138,0.9774,0.0416666666666666,0.2228260869565217,"cai, demographic, economic, chinese, fang",0.009,0.918,0.073,0.9313,0.1064285714285714,0.2988095238095238
Fan Gang,Female,20th,Economist,China,"china, gang, fan, economic, chinese",0.011,0.885,0.104,0.9423,0.0866666666666666,0.2316666666666667,"gang, china, fan, policy, cass",0.0,0.892,0.108,0.9584,0.173015873015873,0.298015873015873,"cass, china, gang, fan, economics",0.0,0.938,0.062,0.9184,0.1337962962962963,0.2467592592592593,"gang, fan, chinese, peking, reflecting",0.022,0.764,0.214,0.9957,0.0922021943573668,0.3685475444096133,"china, fan, economic, policy, gang",0.0,0.884,0.116,0.9753,0.1029761904761904,0.3410714285714285
Li Yining,Female,20th,Economist,China,"yining, china, stock, economic, market",0.032,0.924,0.045,0.4728,0.1078947368421052,0.2921052631578947,"yining, china, li, reform, chinese",0.01,0.916,0.073,0.9088,0.1113043478260869,0.2800000000000001,"china, yining, economic, li, reform",0.005,0.892,0.103,0.9682,0.1427018633540372,0.3121635610766046,"li, yining, chinese, province, beijing",0.01,0.852,0.138,0.9726,0.0629166666666666,0.2383333333333332,"li, china, market, economic, yining",0.0,0.93,0.07,0.9485,0.1496527777777777,0.3826388888888889
Chen Daisun,Female,20th,Economist,China,"china, chen, economic, peking, finance",0.019,0.866,0.115,0.9522,0.1238095238095238,0.3126984126984127,"chen, economics, china, thinking, economic",0.04,0.83,0.13,0.9445,0.1457839262187088,0.4273715415019762,"chen, economic, history, chinese, china",0.005,0.933,0.062,0.8581,0.0895962732919255,0.3268633540372671,"chen, chinese, communist, china, greatly",0.071,0.844,0.085,0.4215,0.1169871794871795,0.2740384615384614,"chen, chinese, daisun, china, literary",0.022,0.851,0.127,0.9772,0.0871212121212121,0.2854895104895104
Elisabeth Liefmann-Keil,Female,20th,Economist,Germany,"social, policy, keil, liefmann, germany",0.031,0.889,0.08,0.8555,0.0573333333333333,0.1806666666666666,"keil, liefmann, brain, neuropathology, elisabeth",0.063,0.884,0.052,-0.3447,0.0363123718386876,0.4086352244246981,"social, keil, liefmann, aging, policy",0.035,0.817,0.148,0.9812,0.1782051282051281,0.366025641025641,"liefmann, keil, kassette, waldgang, german",0.04,0.776,0.184,0.9871,0.128,0.4093333333333332,"keil, liefmann, frequently, reading, german",0.008,0.81,0.181,0.9917,0.1372023809523809,0.3613095238095237
Marianne Weber,Female,20th,Economist,Germany,"weber, max, marianne, heidelberg, sociologist",0.045,0.914,0.041,-0.4019,0.1931372549019607,0.3941176470588234,"weber, marianne, max, intellectual, sociologist",0.047,0.822,0.131,0.9509,0.1285714285714285,0.4349206349206349,"marianne, weber, max, women, wife",0.016,0.876,0.107,0.9618,0.2708333333333333,0.4510416666666666,"weber, marianne, women, protestant, max",0.014,0.896,0.09,0.9544,0.1684210526315789,0.3543859649122806,"weber, women, sociology, feminist, sociologist",0.035,0.901,0.064,0.7564,0.187037037037037,0.4629629629629629
Rosa Luxemburg,Female,20th,Economist,Germany,"luxemburg, 1919, revolution, war, 1918",0.124,0.801,0.075,-0.8934,-0.0135416666666666,0.3229166666666667,"revolutionary, spd, luxemburg, spartacus, war",0.164,0.754,0.082,-0.967,-0.0794444444444444,0.3233333333333333,"socialist, spartacus, revolutionary, party, german",0.112,0.826,0.063,-0.93,0.0544871794871795,0.4474358974358974,"luxemburg, marxist, socialist, resistance, zamość",0.059,0.842,0.1,0.534,0.0907407407407407,0.1814814814814814,"luxemburg, spartacist, revolutionary, spd, workers",0.147,0.747,0.106,-0.8911,0.0731481481481481,0.5851851851851853
Annelise Wambach,Female,20th,Economist,Germany,"wambach, past, psychology, hypnosis, reincarnation",0.033,0.824,0.142,0.9612,0.0415750915750915,0.1813186813186813,"wambach, biblical, theology, old, testament",0.024,0.872,0.104,0.9413,0.094047619047619,0.3630952380952381,"wambach, chicago, artistic, illinois, art",0.03,0.795,0.175,0.9874,0.1804597701149425,0.5646551724137929,"wambach, soccer, uswnt, anneliese, league",0.0,0.795,0.205,0.9964,0.1839683600713012,0.3932932263814616,"wambach, annelise, mental, memoir, health",0.027,0.824,0.149,0.9779,0.0853174603174603,0.4162698412698413
Annette Baier.,Female,20th,Economist,Germany,"baier, moral, hume, humean, ethics",0.036,0.85,0.114,0.9428,0.1297202797202797,0.3644522144522144,"baier, zealand, moral, trust, epistemology",0.03,0.78,0.19,0.9874,0.1131977671451355,0.4643141945773524,"baier, hume, philosophy, zealand, university",0.0,0.878,0.122,0.9808,0.1193181818181818,0.3755050505050505,"baier, holyoke, philosophy, annette, ethics",0.013,0.841,0.146,0.9796,0.0839314194577352,0.4138357256778309,"baier, moral, ethics, philosophy, ethical",0.019,0.796,0.186,0.9934,0.1271616541353383,0.4142230576441102
Chikayo Kondo,Female,20th,Economist,Japan,"kondō, girls, japan, japanese, women",0.0,0.866,0.134,0.9648,0.1197916666666667,0.26875,"kondo, japanese, novel, attesting, chikayo",0.033,0.881,0.086,0.7964,0.0393010752688172,0.3206451612903225,"kondo, japanese, war, memoir, angeles",0.096,0.841,0.063,-0.891,0.1427609427609427,0.3632154882154881,"kondo, jar, children, learning, multicultural",0.0,0.819,0.181,0.9945,0.2252604166666666,0.3966145833333333,"kondo, japanese, literary, chikayo, literature",0.008,0.822,0.17,0.9912,0.1133244206773618,0.3180258467023172
Emiko Kinoshita,Female,20th,Economist,Japan,"kinoshita, japanese, literary, prize, itō",0.0,0.874,0.126,0.9781,0.0969696969696969,0.1645021645021645,"kinoshita, forgetfulness, emiko, literary, japan",0.053,0.824,0.122,0.9136,0.0540322580645161,0.2836021505376344,"kinoshita, japanese, canadian, activist, columbia",0.038,0.902,0.061,0.4215,0.0895833333333333,0.2979166666666666,"kinoshita, emiko, japanese, literature, kusamakura",0.037,0.849,0.114,0.9325,0.0894736842105263,0.3916666666666666,"kinoshita, emiko, literary, bicultural, dislocation",0.008,0.842,0.15,0.9877,0.1339488636363636,0.3764441287878787
Fumiko Hayashi,Female,20th,Economist,Japan,"hayashi, 1951, hostess, itinerant, suisen",0.141,0.749,0.11,-0.6249,-0.0365918803418803,0.4051282051282052,"hayashi, unconventional, candidly, kikue, hōrōki",0.097,0.826,0.077,-0.7184,0.1329545454545454,0.5412878787878788,"hayashi, hardship, lives, hōrōki, vagabond",0.075,0.835,0.09,0.5682,0.0903703703703703,0.3782716049382716,"hayashi, fumiko, japanese, 1951, ishikawa",0.145,0.712,0.143,-0.3506,0.0770833333333333,0.375297619047619,"hayashi, fumiko, japanese, japan, women",0.06,0.849,0.092,0.8126,0.1418103448275862,0.3764367816091953
Hiroko Takeda,Female,20th,Economist,Japan,"japan, takeda, gender, sheffield, labor",0.024,0.924,0.052,0.743,0.1022727272727272,0.3303030303030303,"takeda, canadian, breath, gears, hemispheres",0.043,0.85,0.107,0.891,0.07625,0.3129166666666666,"takeda, japanese, reconstructing, family, tokyo",0.0,0.966,0.034,0.7964,0.0231884057971014,0.1608695652173913,"takeda, tenchi, manga, ryo, ohki",0.042,0.801,0.157,0.9774,0.2368371212121212,0.4441638608305275,"takeda, kyoto, novel, rave, japanese",0.012,0.87,0.119,0.9691,0.0836309523809523,0.3398809523809523
