"Name","Gender","Century","Scope","Country","top5_keywords","sent_neg","sent_neu","sent_pos","sent_compound","polarity","subjectivity"
"Victoria de los Ángeles","Female","20th","Musician","Spain","opera, debut, barcelona, singing, conservatori","0.0","0.864","0.136","0.9875","0.24155844155844156","0.46136363636363636"
"Aretha Franklin","Female","20th","Musician","United States","franklin, aretha, gospel, releasing, bryant","0.008","0.817","0.175","0.9912","0.18242424242424246","0.5014141414141414"
"Billie Holiday","Female","20th","Musician","United States","holiday, jazz, addiction, eleanora, basie","0.169","0.761","0.07","-0.9811","0.10926677489177489","0.5014001623376623"
"Ella Fitzgerald","Female","20th","Musician","United States","ella, webb, jazz, school, singing","0.065","0.705","0.23","0.9954","0.25312500000000004","0.5416666666666667"
"Janis Joplin","Female","20th","Musician","United States","blues, big, joplin, kozmic, brother","0.05","0.828","0.122","0.9528","0.17681359044995407","0.4360651974288338"
"Madonna","Female","20th","Musician","United States","like, madonna, music, desperately, erotica","0.011","0.784","0.205","0.9922","0.23516042780748658","0.609090909090909"
"Diana Maffía","Female","20th","Philosopher","Argentina","maffía, feminist, rights, argentine, lgbtq","0.0","0.83","0.17","0.9872","0.1318181818181818","0.5110606060606061"
"María Luisa Femenías","Female","20th","Philosopher","Argentina","feminist, femenías, latin, philosophy, plata","0.0","0.914","0.086","0.9531","0.08712121212121214","0.3098484848484849"
"Alicia Moreau de Justo","Female","20th","Philosopher","Argentina","argentine, justo, moreau, suffrage, women","0.036","0.846","0.118","0.96","0.10964912280701752","0.4394736842105264"
"Alicia Villar","Female","20th","Philosopher","Argentina","api_wrapper, langchain_community, wikipediaqueryrun, wikipediaapiwrapper, wiki","0.0","1.0","0.0","0.0","0.0","0.0"
"Amelia Podetti","Female","20th","Philosopher","Argentina","podetti, argentina, argentine, exile, eje","0.027","0.843","0.131","0.9713","0.07184265010351966","0.3442546583850932"
"Chizuko Ueno","Female","20th","Philosopher","Japan","feminist, ueno, kyoto, japanese, japan","0.007","0.916","0.077","0.9176","0.11979166666666667","0.3746527777777778"
"Hani Motoko","Female","20th","Philosopher","Japan","motoko, women, hani, japan, japanese","0.043","0.866","0.092","0.8519","0.13055555555555556","0.21944444444444444"
"Hiratsuka Raichō","Female","20th","Philosopher","Japan","raichō, feminist, women, ideals, japanese","0.012","0.869","0.119","0.9638","0.09276094276094275","0.4236111111111111"
"Hitomi Kiyokawa","Female","20th","Philosopher","Japan","kiyokawa, hitomi, person, get_biography, спектакль","0.0","1.0","0.0","0.0","0.0","0.0"
"Hitoshi Tsuji.","Female","20th","Philosopher","Japan","manga, tsuji, 3x3, eyes, action","0.039","0.809","0.152","0.9739","0.11366666666666667","0.4096666666666667"
"Betül Çotuksöken","Female","20th","Philosopher","Turkey","çotuksöken, turkish, philosophy, istanbul, university","0.0","0.951","0.049","0.8126","0.06342592592592593","0.3453703703703703"
"Ioanna Kuçuradi","Female","20th","Philosopher","Turkey","kuçuradi, philosophy, jury, turkey, turkish","0.0","0.884","0.116","0.9758","0.06041666666666666","0.3104166666666667"
"Şirin Tekeli","Female","20th","Philosopher","Turkey","tekeli, feminist, turkey, women, şirin","0.0","0.864","0.136","0.9837","0.08716856060606061","0.40757575757575754"
"Ayşe Kadıoğlu","Female","20th","Philosopher","Turkey","kadıoğlu, ayşe, get_biography, спектакль, ferrol","0.0","1.0","0.0","0.0","0.0","0.0"
"Ayşe Saktanber","Female","20th","Philosopher","Turkey","saktanber, turkey, sociology, scholar, culture","0.02","0.905","0.075","0.9081","0.053968253968253964","0.4166666666666667"
"Martine Aubry","Female","20th","Politician","France","aubry, socialist, french, party, delors","0.0","0.859","0.141","0.979","0.07543859649122807","0.27631578947368424"
"Simone Veil","Female","20th","Politician","France","veil, european, law, france, affairs","0.053","0.818","0.129","0.9073","0.10175438596491229","0.3219298245614035"
"Édith Cresson","Female","20th","Politician","France","cresson, minister, prime, 1991, scandal","0.065","0.926","0.009","-0.8475","0.03035714285714286","0.28928571428571426"
"Françoise Giroud","Female","20th","Politician","France","giroud, journalist, french, lazareff, elle","0.063","0.925","0.012","-0.886","0.008333333333333331","0.28055555555555556"
"Michèle Alliot-Marie","Female","20th","Politician","France","alliot, marie, minister, defense, french","0.031","0.918","0.051","0.4902","0.13088235294117645","0.31911764705882356"
"Gro Harlem Brundtland","Female","20th","Politician","Norway","brundtland, health, global, public, commission","0.0","0.947","0.053","0.886","0.020833333333333332","0.20729166666666665"
"Eva Kolstad","Female","20th","Politician","Norway","kolstad, norwegian, women, feminist, rights","0.0","0.878","0.122","0.9813","0.07105263157894737","0.20921052631578949"
"Aase Lionæs","Female","20th","Politician","Norway","lionæs, norwegian, peace, oslo, member","0.0","0.787","0.213","0.9871","0.11770833333333335","0.3333333333333333"
"Anne Enger Lahnstein","Female","20th","Politician","Norway","party, norwegian, centre, storting, rural","0.0","0.911","0.089","0.9413","0.07916666666666666","0.32462121212121214"
"Berit Ås","Female","20th","Politician","Norway","ås, feminist, norwegian, women, politics","0.01","0.912","0.077","0.9287","0.035416666666666666","0.23625"
"Alicja Dorabialska","Female","20th","Scientist","Poland","01, event_date, dorabialska, event, datetime","0.034","0.938","0.029","-0.1531","0.13333333333333333","0.26666666666666666"
"Maria Skłodowska-Curie","Female","20th","Scientist","Poland","curie, pierre, nobel, warsaw, radioactivity","0.049","0.866","0.084","0.8074","0.05297619047619049","0.2928571428571428"
"Irena Sendler","Female","20th","Scientist","Poland","sendler, ghetto, families, children, saved","0.134","0.732","0.134","0.4497","0.03636363636363636","0.3772727272727273"
"Marie Curie","Female","20th","Scientist","Poland","marie, nobel, radium, curie, pierre","0.035","0.88","0.085","0.8481","0.025034176349965825","0.34767031214399635"
"Anna Jerzmańska","Female","20th","Scientist","Poland","jerzmańska, fish, fossil, fauna, mongolia","0.01","0.889","0.102","0.9707","0.13437001594896333","0.4467304625199362"
"Elvira Fortunato","Female","20th","Scientist","Portugal","fortunato, electronics, paper, sciences, european","0.0","0.907","0.093","0.9674","0.12563131313131312","0.3493265993265993"
"Maria de Sousa","Female","20th","Scientist","Portugal","sousa, glasgow, immune, immunology, scientists","0.0","0.879","0.121","0.9783","0.10066844919786097","0.35075757575757577"
"Maria do Carmo Fonseca","Female","20th","Scientist","Portugal","fonseca, molecular, biology, research, rna","0.0","0.907","0.093","0.969","0.1340909090909091","0.4227272727272727"
"Amalia Robles","Female","20th","Scientist","Portugal","music, mexican, robles, mexico, arrangements","0.0","0.952","0.048","0.8573","0.12142857142857144","0.3170634920634921"
"Ana Carlos Pereira","Female","20th","Scientist","Portugal","machado, children, ana, literature, maria","0.0","0.858","0.142","0.9878","0.10416666666666667","0.32999999999999996"
"Olga Ladyzhenskaya","Female","20th","Scientist","Russia","ladyzhenskaya, mathematics, equations, mathematicians, unreliable","0.038","0.844","0.118","0.9672","0.031653491436100134","0.29367588932806327"
"Sofia Kovalevskaya","Female","20th","Scientist","Russia","mathematics, kovalevskaya, mathematician, doctorate, women","0.012","0.954","0.034","0.4118","0.14062499999999997","0.37187499999999996"
"Natalia Bekhtereva","Female","20th","Scientist","Russia","bekhtereva, ussr, leningrad, medical, diagnosing","0.052","0.853","0.095","0.807","0.1478650137741047","0.4308884297520661"
"Zinaida Ermol'eva","Female","20th","Scientist","Russia","ermol, eva, ussr, soviet, cholera","0.027","0.884","0.089","0.8591","0.10340909090909091","0.4326599326599327"
"Chien-Shiung Wu is not Russian","Female","20th","Scientist","Russia","wu, physics, columbia, experiment, garwin","0.0","0.921","0.079","0.9545","0.2","0.5011904761904762"
"Dorothy Hodgkin","Female","20th","Scientist","United Kingdom","hodgkin, structure, determining, b12, vitamin","0.03","0.828","0.143","0.9774","0.02371794871794872","0.5711538461538461"
"Jocelyn Bell Burnell","Female","20th","Scientist","United Kingdom","burnell, astrophysics, bell, hewish, physics","0.021","0.899","0.08","0.9337","0.055714285714285716","0.3348351648351648"
"Rosalind Franklin","Female","20th","Scientist","United Kingdom","dna, ray, franklin, structure, diffraction","0.032","0.932","0.036","0.4385","0.175","0.41421568627450983"
"Anne McLaren","Female","20th","Scientist","United Kingdom","mclaren, reproductive, developmental, vitro, embryonic","0.04","0.896","0.064","0.6478","0.09333333333333332","0.38666666666666666"
"Mary Cartwright","Female","20th","Scientist","United Kingdom","nonlinear, littlewood, cartwright, chaos, differential","0.074","0.881","0.045","-0.7579","0.11574074074074073","0.2759259259259259"
"Ding Ling","Female","20th","Writer","China","party, campaign, joined, literary, revolutionary","0.076","0.862","0.061","-0.8385","0.06775362318840579","0.40253623188405796"
"Wang Anyi","Female","20th","Writer","China","anyi, wang, shanghai, zhijuan, baotown","0.016","0.817","0.167","0.986","0.17272727272727273","0.2825757575757576"
"Bing Xin","Female","20th","Writer","China","bing, xin, yenching, literary, chinese","0.024","0.899","0.077","0.891","0.08864942528735634","0.31522988505747124"
"Eileen Chang","Female","20th","Writer","China","chang, chinese, shanghai, china, kong","0.038","0.85","0.112","0.9547","0.18233333333333335","0.37366666666666665"
"Zhang Ailing","Female","20th","Writer","China","zhang, chinese, japanese, divorce, shanghai","0.079","0.821","0.1","0.4194","0.15833333333333333","0.3836805555555555"
"Füruzan","Female","20th","Writer","Turkey","füruzan, turkey, writing, short, faik","0.067","0.852","0.081","0.4927","0.09314285714285714","0.3449047619047619"
"Halide Edib Adıvar","Female","20th","Writer","Turkey","turkish, istanbul, adıvar, edib, halide","0.065","0.897","0.038","-0.8225","0.12303921568627452","0.38284313725490193"
"Latife Tekin","Female","20th","Writer","Turkey","tekin, turkish, berci, kristin, sevgili","0.047","0.859","0.095","0.8905","0.14733333333333332","0.5009999999999999"
"Adalet Ağaoğlu","Female","20th","Writer","Turkey","ağaoğlu, ankara, turkish, trilogy, plays","0.009","0.861","0.129","0.9876","0.10513568868407579","0.4012775217613927"
"Leyla Erbil","Female","20th","Writer","Turkey","erbil, faik, nadi, yunus, sait","0.02","0.86","0.119","0.9825","0.11920289855072463","0.3579710144927536"
"Sophie Calle","Female","21st","Artist","France","calle, art, chambermaid, vénitienne, 1981","0.0","0.881","0.119","0.9752","0.12729166666666666","0.4554166666666667"
"Camille Henrot","Female","21st","Artist","France","henrot, video, artistic, paris, art","0.009","0.924","0.067","0.91","0.1434280303030303","0.4004545454545454"
"Annette Messager","Female","21st","Artist","France","messager, installation, moderne, musée, practice","0.0","0.898","0.102","0.9747","0.07170138888888888","0.3586805555555555"
"Claire Tabouret","Female","21st","Artist","France","tabouret, les, secrets, relatable, novels","0.018","0.822","0.161","0.9865","0.1439236111111111","0.37256944444444445"
"Laure Prouvost","Female","21st","Artist","France","prouvost, biennale, france, 2013, venice","0.0","0.869","0.131","0.9822","0.11151960784313723","0.3784313725490196"
"Isa Genzken","Female","21st","Artist","Germany","genzken, art, cologne, sculptures, fine","0.013","0.902","0.085","0.9391","0.07935454545454546","0.4691151515151515"
"Rosemarie Trockel","Female","21st","Artist","Germany","trockel, art, use, ironic, knitted","0.007","0.912","0.081","0.9216","0.17447240259740254","0.5205627705627706"
"Katharina Grosse","Female","21st","Artist","Germany","grosse, kunstpreis, düsseldorf, stadtsparkasse, der","0.0","0.924","0.076","0.9403","0.16729166666666667","0.49"
"Alicja Kwade","Female","21st","Artist","Germany","kwade, perception, space, installations, berlin","0.01","0.871","0.119","0.9652","0.16409090909090907","0.4391919191919192"
"Anima Gee","Female","21st","Artist","Germany","gee, chinese, american, journalist, cultural","0.022","0.888","0.09","0.9169","0.1072314049586777","0.3949380165289255"
"Teresa Margolles","Female","21st","Artist","Mexico","violence, crime, art, museum, morgues","0.158","0.81","0.033","-0.9876","0.11112258953168044","0.42558539944903584"
"Betsabeé Romero","Female","21st","Artist","Mexico","romero, mexican, universidad, betsabeé, mexico","0.005","0.897","0.098","0.9633","0.12993827160493826","0.3811728395061728"
"Frida Kahlo","Female","21st","Artist","Mexico","frida, artwork, art, physical, emotional","0.108","0.8","0.091","-0.7984","0.031159420289855078","0.46138716356107656"
"Minerva Cuevas","Female","21st","Artist","Mexico","cuevas, 2003, art, challenge, means","0.01","0.926","0.064","0.8834","0.12438016528925618","0.43278236914600554"
"Pia Camil","Female","21st","Artist","Mexico","camil, design, art, mexico, mexican","0.005","0.899","0.096","0.9689","0.11225895316804407","0.2839187327823691"
"Olga Chernysheva","Female","21st","Artist","Russia","chernysheva, moscow, conceptualist, art, russian","0.0","0.899","0.101","0.967","0.03585454545454545","0.30978181818181816"
"Marina Abramovic","Female","21st","Artist","Russia","abramovic, performance, ulay, hours, wall","0.026","0.852","0.122","0.9812","0.1247790404040404","0.3988501082251082"
"Alexandra Paperno","Female","21st","Artist","Russia","alexandra, semyon, russian, émigré, revolutionary","0.078","0.82","0.103","0.743","0.13174603174603175","0.37063492063492065"
"Alina Gutkina","Female","21st","Artist","Russia","gutkina, craft, readers, alina, writing","0.022","0.831","0.147","0.9747","0.27301587301587305","0.5821428571428571"
"Anna Bogoslovskaya","Female","21st","Artist","Russia","bogoslovskaya, russian, commentary, issues, husband","0.031","0.775","0.194","0.9896","0.10938228438228438","0.4136072261072261"
"Marit Bjoergen","Female","21st","Athlete","Norway","bjoergen, 10km, medals, winter, olympic","0.0","0.804","0.196","0.9913","0.3263157894736842","0.46403508771929824"
"Therese Johaug","Female","21st","Athlete","Norway","johaug, 30km, medals, world, cup","0.049","0.784","0.167","0.9812","0.24857954545454544","0.36742424242424243"
"Ada Hegerberg","Female","21st","Athlete","Norway","league, champions, scorer, women, uefa","0.0","0.855","0.145","0.9901","0.17125","0.4069444444444444"
"Caroline Graham Hansen","Female","21st","Athlete","Norway","league, hansen, champions, uefa, tyresö","0.018","0.769","0.213","0.9942","0.171","0.363"
"Arianna Fontana","Female","21st","Athlete","Norway","medals, 2022, 500m, fontana, relay","0.0","0.85","0.15","0.9845","0.19444444444444445","0.4527777777777778"
"Mariana Mazzucato","Female","21st","Economist","Italy","mazzucato, innovation, ucl, value, sussex","0.006","0.849","0.146","0.9855","0.07867514430014431","0.32220418470418466"
"Paola Sapienza","Female","21st","Economist","Italy","sapienza, finance, journal, kellogg, economics","0.0","0.918","0.082","0.9559","0.127020202020202","0.3798821548821548"
"Alessandra Bonfiglioli","Female","21st","Economist","Italy","guarnaccia, bonfiglioli, commissario, mystery, italian","0.03","0.783","0.187","0.9908","0.22179487179487184","0.35416666666666663"
"Alessandra Casarico","Female","21st","Economist","Italy","casarico, economics, economic, taxation, policy","0.012","0.953","0.036","0.5423","0.07115384615384615","0.2724358974358974"
"Alessandra Pelloni","Female","21st","Economist","Italy","pelloni, literary, literature, background, writer","0.009","0.823","0.168","0.9866","0.1469135802469136","0.36913580246913574"
"Nora Lustig","Female","21st","Economist","Mexico","lustig, inequality, poverty, equity, latin","0.05","0.867","0.082","0.743","0.08935185185185185","0.313425925925926"
"Graciela Márquez Colín","Female","21st","Economist","Mexico","colín, márquez, economic, mexico, unam","0.0","0.94","0.06","0.8979","0.1366666666666667","0.2955555555555556"
"Alicia Bárcena Ibarra","Female","21st","Economist","Mexico","mexico, bárcena, ibarra, eclac, foreign","0.0","0.942","0.058","0.8591","0.07375000000000001","0.26125"
