"Name","Gender","Century","Scope","Country","top5_keywords","sent_neg","sent_neu","sent_pos","sent_compound","polarity","subjectivity"
"Naoko Takahashi","Female","20th","Athlete","Japan","takahashi, marathon, olympic, athletics, determination","0.0","0.771","0.229","0.9952","0.21856643356643357","0.3826573426573426"
"Yuko Arimori","Female","20th","Athlete","Japan","arimori, marathon, yuko, running, japan","0.0","0.806","0.194","0.9891","0.2518115942028985","0.5373188405797101"
"Arantxa Sánchez Vicario","Female","20th","Athlete","Spain","vicario, tennis, sánchez, doubles, arantxa","0.04","0.789","0.17","0.9869","0.2023076923076923","0.4848717948717949"
"Teresa Perales","Female","20th","Athlete","Spain","perales, swimming, paralympic, teresa, sports","0.027","0.782","0.191","0.992","0.19246031746031744","0.5119047619047619"
"Conchita Martínez","Female","20th","Athlete","Spain","martínez, tennis, wta, spain, open","0.02","0.803","0.176","0.9858","0.1969755244755245","0.5039568764568765"
"Mireia Belmonte","Female","20th","Athlete","Spain","swimming, belmonte, 200m, butterfly, swimmers","0.0","0.807","0.193","0.9913","0.20476190476190473","0.4386904761904762"
"Ruth Beitia","Female","20th","Athlete","Spain","beitia, athletics, indoor, championships, athletes","0.006","0.763","0.231","0.9952","0.17191666666666666","0.3957222222222222"
"Beatriz Nofal","Female","20th","Economist","Argentina","nofal, argentine, aires, buenos, literature","0.016","0.845","0.139","0.9846","0.10895454545454544","0.34084848484848473"
"Adela Azar","Female","20th","Economist","Argentina","azar, adela, literature, california, diverse","0.007","0.845","0.148","0.9823","0.13063899868247694","0.43635704874835296"
"Alicia Kirchner","Female","20th","Economist","Argentina","kirchner, social, argentine, alicia, plata","0.013","0.884","0.102","0.9607","0.11790123456790123","0.2944444444444444"
"Alicia R. García-Herrero","Female","20th","Economist","Argentina","herrero, garcía, economic, bank, asia","0.0","0.931","0.069","0.9118","0.12123655913978497","0.22983870967741937"
"Ana Maria Martirena-Mantel","Female","20th","Economist","Argentina","martirena, mantel, language, learners, education","0.0","0.867","0.133","0.9843","0.14045454545454547","0.3725151515151514"
"Wu Jinglian","Female","20th","Economist","China","wu, china, economic, market, jinglian","0.008","0.876","0.116","0.9781","0.0889784946236559","0.40887096774193543"
"Cai Fang","Female","20th","Economist","China","cai, demographic, economic, chinese, fang","0.009","0.918","0.073","0.9313","0.10642857142857144","0.2988095238095238"
"Fan Gang","Female","20th","Economist","China","china, fan, economic, policy, gang","0.0","0.884","0.116","0.9753","0.10297619047619049","0.3410714285714285"
"Li Yining","Female","20th","Economist","China","li, china, market, economic, yining","0.0","0.93","0.07","0.9485","0.14965277777777777","0.3826388888888889"
"Chen Daisun","Female","20th","Economist","China","chen, chinese, daisun, china, literary","0.022","0.851","0.127","0.9772","0.08712121212121214","0.28548951048951043"
"Elisabeth Liefmann-Keil","Female","20th","Economist","Germany","keil, liefmann, frequently, reading, german","0.008","0.81","0.181","0.9917","0.13720238095238096","0.36130952380952375"
"Marianne Weber","Female","20th","Economist","Germany","weber, women, sociology, feminist, sociologist","0.035","0.901","0.064","0.7564","0.18703703703703703","0.4629629629629629"
"Rosa Luxemburg","Female","20th","Economist","Germany","luxemburg, spartacist, revolutionary, spd, workers","0.147","0.747","0.106","-0.8911","0.07314814814814813","0.5851851851851853"
"Annelise Wambach","Female","20th","Economist","Germany","wambach, annelise, mental, memoir, health","0.027","0.824","0.149","0.9779","0.08531746031746032","0.4162698412698413"
"Annette Baier.","Female","20th","Economist","Germany","baier, moral, ethics, philosophy, ethical","0.019","0.796","0.186","0.9934","0.12716165413533834","0.4142230576441102"
"Chikayo Kondo","Female","20th","Economist","Japan","kondo, japanese, literary, chikayo, literature","0.008","0.822","0.17","0.9912","0.11332442067736187","0.31802584670231726"
"Emiko Kinoshita","Female","20th","Economist","Japan","kinoshita, emiko, literary, bicultural, dislocation","0.008","0.842","0.15","0.9877","0.13394886363636366","0.37644412878787875"
"Fumiko Hayashi","Female","20th","Economist","Japan","hayashi, fumiko, japanese, japan, women","0.06","0.849","0.092","0.8126","0.1418103448275862","0.3764367816091953"
"Hiroko Takeda","Female","20th","Economist","Japan","takeda, kyoto, novel, rave, japanese","0.012","0.87","0.119","0.9691","0.08363095238095239","0.33988095238095234"
"Hiroko Yamamoto","Female","20th","Economist","Japan","yamamoto, tokyo, japanese, literature, literary","0.008","0.804","0.188","0.9931","0.12789001122334456","0.34245230078563405"
"Ayşe Buğra","Female","20th","Economist","Turkey","buğra, social, turkey, sociology, welfare","0.011","0.906","0.083","0.9581","0.11085858585858584","0.3032828282828283"
"Aysel Yelken","Female","20th","Economist","Turkey","yelken, turkish, aysel, istanbul, literary","0.008","0.785","0.207","0.995","0.15064102564102566","0.3278846153846153"
"Aysu İnsel","Female","20th","Economist","Turkey","nsel, aysu, şehir, oyunu, turkey","0.008","0.783","0.209","0.9948","0.14984402852049913","0.37170231729055253"
"Aysıt Tansel","Female","20th","Economist","Turkey","tansel, aysıt, turkish, literature, literary","0.009","0.817","0.175","0.9911","0.10722064393939394","0.38607954545454537"
"Berrin Aktın","Female","20th","Economist","Turkey","aktın, turkish, literature, writing, literary","0.0","0.844","0.156","0.9874","0.12383449883449885","0.36267482517482513"
"Joan Robinson","Female","20th","Economist","United Kingdom","robinson, economic, imperfect, joan, 1903","0.057","0.834","0.109","0.936","0.1505336617405583","0.3399014778325123"
"Phyllis Deane","Female","20th","Economist","United Kingdom","deane, economics, economic, academic, cambridgeshire","0.009","0.921","0.069","0.91","0.1450757575757576","0.27196969696969703"
"Barbara Wootton","Female","20th","Economist","United Kingdom","wootton, social, policy, public, british","0.011","0.85","0.139","0.9849","0.08179713804713803","0.24387626262626258"
"Sheila Dow","Female","20th","Economist","United Kingdom","dow, economics, monetary, sheila, heterodox","0.0","0.862","0.138","0.9858","0.16426218708827406","0.3433135704874835"
"Amartya Sen (though primarily known as a philosopher, her early work was in economics and influenced UK economic thought)","Female","20th","Economist","United Kingdom","sen, economics, amartya, poverty, famine","0.059","0.798","0.144","0.9705","0.04967948717948718","0.310576923076923"
"Elsie MacGill","Female","20th","Inventor","Canada","macgill, canadian, engineering, elsie, women","0.035","0.869","0.096","0.935","0.16813725490196083","0.5019607843137256"
"Harriet Brooks","Female","20th","Inventor","Canada","brooks, physics, harriet, nuclear, developments","0.011","0.943","0.046","0.743","0.15882352941176475","0.46911764705882353"
"Ursula Franklin","Female","20th","Inventor","Canada","franklin, ursula, activist, advancements, canada","0.0","0.851","0.149","0.9893","0.15043859649122807","0.5109649122807017"
"Agnes Mary Robertson Macdonell","Female","20th","Inventor","Canada","macdonell, robertson, children, agnes, mary","0.014","0.826","0.161","0.9875","0.21036501377410463","0.5119490358126721"
"Alice Wilson","Female","20th","Inventor","Canada","wilson, canadian, women, alice, literature","0.0","0.905","0.095","0.9545","0.06278787878787882","0.32818181818181813"
"Aletta Jacobs","Female","20th","Inventor","Netherlands","jacobs, women, medicine, rights, reproductive","0.016","0.906","0.079","0.9118","0.13484848484848486","0.4359848484848485"
"Johanna Westerdijk","Female","20th","Inventor","Netherlands","westerdijk, mycology, fungi, johanna, research","0.041","0.862","0.097","0.9042","0.07324561403508771","0.4381578947368421"
"Lise Meitner","Female","20th","Inventor","Netherlands","meitner, hahn, nuclear, lise, energy","0.009","0.845","0.146","0.9874","0.08333333333333333","0.5112745098039215"
"Truus van Lier","Female","20th","Inventor","Netherlands","lier, children, van, truus, literature","0.015","0.824","0.161","0.9813","0.19900137741046828","0.5585399449035813"
"Anna K. A. D. Naeff","Female","20th","Inventor","Netherlands","naeff, women, het, dutch, der","0.01","0.889","0.101","0.9666","0.16944444444444443","0.42341269841269846"
"Afife Batur","Female","20th","Inventor","Turkey","batur, turkish, poetry, afife, literature","0.0","0.864","0.136","0.987","0.1346801346801347","0.4085016835016835"
"Ayla Davutyan","Female","20th","Inventor","Turkey","armenian, davutyan, armenia, yerevan, ayla","0.018","0.831","0.151","0.9837","0.09723092998955069","0.35475444096133757"
"Aysun Yıldız","Female","20th","Inventor","Turkey","yıldız, aysun, turkish, yıldızlar, altında","0.032","0.837","0.131","0.9661","0.10909090909090907","0.36011072261072247"
"Caliye Cerrahoglu","Female","20th","Inventor","Turkey","cerrahoglu, istanbul, caliye, turkish, unheard","0.015","0.852","0.133","0.9829","0.10868844696969697","0.31119791666666663"
"Canan Dağdeviren","Female","20th","Inventor","Turkey","dağdeviren, 35, mit, technology, engineering","0.0","0.874","0.126","0.9823","0.12051282051282051","0.4666666666666667"
"Sissel Kyrkjebø","Female","20th","Musician","Norway","sissel, music, musical, classical, norwegian","0.0","0.883","0.117","0.9823","0.14381720430107528","0.3655913978494624"
"Kari Bremnes","Female","20th","Musician","Norway","bremnes, music, kari, blaue, norway","0.012","0.853","0.135","0.9851","0.13150252525252523","0.37121212121212127"
"Kirsten Flagstad","Female","20th","Musician","Norway","flagstad, wagnerian, isolde, sopranos, operatic","0.031","0.832","0.137","0.9692","0.20963203463203461","0.48170995670995664"
"Mari Boine","Female","20th","Musician","Norway","sámi, boine, indigenous, gula, mari","0.013","0.822","0.165","0.9918","0.11494252873563221","0.49856321839080464"
"Anne Grete Preus","Female","20th","Musician","Norway","preus, norwegian, music, norway, folk","0.039","0.79","0.171","0.9885","0.14252873563218393","0.4758620689655172"
"Montserrat Caballé","Female","20th","Musician","Spain","caballé, opera, montserrat, barcelona, music","0.0","0.878","0.122","0.9846","0.12857142857142856","0.3595238095238096"
"Alicia de Larrocha","Female","20th","Musician","Spain","larrocha, spanish, music, alicia, barcelona","0.008","0.862","0.13","0.9833","0.10126902667225249","0.3567518503002373"
"Ana Belén","Female","20th","Musician","Spain","belén, spanish, film, music, theater","0.0","0.843","0.157","0.9906","0.16065656565656564","0.3095959595959596"
"Carmen Linares","Female","20th","Musician","Spain","flamenco, linares, carmen, tradition, collaborating","0.004","0.831","0.164","0.9914","0.17307575757575755","0.4976969696969698"
"Victoria de los Ángeles","Female","20th","Musician","Spain","opera, ángeles, barcelona, los, music","0.007","0.878","0.115","0.9772","0.13654479578392623","0.41142951251646903"
"Aretha Franklin","Female","20th","Musician","United States","franklin, music, aretha, soul, records","0.017","0.787","0.196","0.9952","0.2217592592592593","0.5273148148148148"
"Billie Holiday","Female","20th","Musician","United States","holiday, billie, music, jazz, bless","0.153","0.716","0.131","-0.8701","0.07312121212121211","0.4238484848484848"
"Ella Fitzgerald","Female","20th","Musician","United States","fitzgerald, jazz, newport, ella, grammy","0.033","0.779","0.188","0.9921","0.18995454545454543","0.46484848484848484"
"Janis Joplin","Female","20th","Musician","United States","joplin, heroin, rock, music, janis","0.092","0.763","0.145","0.8973","0.1672720797720798","0.46221509971509966"
"Madonna","Female","20th","Musician","United States","madonna, music, like, pop, dance","0.02","0.853","0.128","0.9815","0.14242424242424245","0.5110722610722611"
"Diana Maffía","Female","20th","Philosopher","Argentina","maffía, la, gender, feminist, philosophy","0.024","0.873","0.103","0.9565","0.10340909090909092","0.2877525252525252"
"María Luisa Femenías","Female","20th","Philosopher","Argentina","femenías, feminist, argentina, literature, gender","0.0","0.866","0.134","0.9808","0.07613636363636364","0.25795454545454544"
"Alicia Moreau de Justo","Female","20th","Philosopher","Argentina","justo, moreau, argentina, argentine, women","0.023","0.837","0.141","0.9804","0.10682234432234432","0.3539377289377289"
"Alicia Villar","Female","20th","Philosopher","Argentina","villar, premio, madrid, literature, social","0.008","0.807","0.185","0.9914","0.16246081504702195","0.4153866248693834"
"Amelia Podetti","Female","20th","Philosopher","Argentina","podetti, volunteering, amelia, authors, novel","0.008","0.81","0.181","0.9921","0.10902777777777778","0.34583333333333327"
"Chizuko Ueno","Female","20th","Philosopher","Japan","ueno, gender, feminist, japan, japanese","0.014","0.842","0.144","0.985","0.12832167832167832","0.4024184149184149"
"Hani Motoko","Female","20th","Philosopher","Japan","motoko, hani, japan, garners, japanese","0.006","0.826","0.168","0.9846","0.0825","0.3186111111111111"
"Hiratsuka Raichō","Female","20th","Philosopher","Japan","raichō, women, japan, feminist, rights","0.026","0.898","0.076","0.9113","0.08541666666666665","0.36423611111111104"
"Hitomi Kiyokawa","Female","20th","Philosopher","Japan","kiyokawa, japan, mental, hitomi, junichiro","0.009","0.856","0.135","0.9843","0.08730486685032139","0.35759871441689617"
"Hitoshi Tsuji.","Female","20th","Philosopher","Japan","tsuji, japanese, japan, literary, hitoshi","0.009","0.832","0.159","0.9882","0.13978494623655915","0.33897849462365587"
"Betül Çotuksöken","Female","20th","Philosopher","Turkey","çotuksöken, betül, turkish, literature, literary","0.009","0.828","0.163","0.9865","0.05941142191142191","0.34408508158508155"
"Ioanna Kuçuradi","Female","20th","Philosopher","Turkey","kuçuradi, philosophy, turkey, philosophical, ethics","0.0","0.865","0.135","0.9844","0.051489898989899","0.2582070707070707"
"Şirin Tekeli","Female","20th","Philosopher","Turkey","tekeli, turkey, women, feminist, turkish","0.013","0.863","0.124","0.9837","0.06515151515151517","0.4462121212121212"
"Ayşe Kadıoğlu","Female","20th","Philosopher","Turkey","kadıoğlu, citizenship, ayşe, turkish, turkey","0.015","0.837","0.147","0.9858","0.08195238095238096","0.3586190476190476"
"Ayşe Saktanber","Female","20th","Philosopher","Turkey","saktanber, gender, women, turkey, urban","0.0","0.919","0.081","0.9285","0.07660256410256411","0.3487179487179487"
"Martine Aubry","Female","20th","Politician","France","aubry, french, lille, socialist, party","0.018","0.803","0.179","0.9922","0.11458333333333333","0.3277777777777778"
"Simone Veil","Female","20th","Politician","France","veil, rights, french, law, france","0.039","0.792","0.17","0.9829","0.1390151515151515","0.3613636363636363"
"Édith Cresson","Female","20th","Politician","France","cresson, minister, édith, prime, france","0.048","0.885","0.067","0.5346","0.09886363636363636","0.2746212121212121"
"Françoise Giroud","Female","20th","Politician","France","giroud, french, journalist, elle, honte","0.032","0.84","0.128","0.9657","0.10384615384615387","0.3189102564102564"
"Michèle Alliot-Marie","Female","20th","Politician","France","alliot, marie, minister, political, french","0.013","0.928","0.059","0.8519","0.08477011494252874","0.31810344827586207"
"Gro Harlem Brundtland","Female","20th","Politician","Norway","brundtland, health, report, sustainable, norway","0.01","0.844","0.147","0.9861","0.09250000000000001","0.30083333333333334"
"Eva Kolstad","Female","20th","Politician","Norway","kolstad, norwegian, eva, literary, literature","0.012","0.88","0.108","0.9586","0.12371820887445889","0.3273369859307359"
"Aase Lionæs","Female","20th","Politician","Norway","lionæs, aase, norway, norwegian, children","0.0","0.848","0.152","0.9856","0.16046176046176047","0.399025974025974"
"Anne Enger Lahnstein","Female","20th","Politician","Norway","lahnstein, norwegian, enger, anne, literature","0.008","0.848","0.143","0.9844","0.04139784946236559","0.25295698924731175"
"Berit Ås","Female","20th","Politician","Norway","ås, feminist, berit, norway, gender","0.023","0.85","0.128","0.9788","0.07477904040404042","0.40261994949494945"
"Alicja Dorabialska","Female","20th","Scientist","Poland","dorabialska, polish, literary, writing, warsaw","0.017","0.835","0.148","0.9866","0.14186237373737376","0.35289772727272717"
"Maria Skłodowska-Curie","Female","20th","Scientist","Poland","curie, skłodowska, maria, polonium, radium","0.043","0.859","0.097","0.9152","0.1255980861244019","0.47348484848484845"
"Irena Sendler","Female","20th","Scientist","Poland","sendler, ghetto, irena, jews, jewish","0.082","0.744","0.174","0.9813","-0.019642857142857142","0.42278138528138526"
"Marie Curie","Female","20th","Scientist","Poland","curie, radioactivity, marie, nobel, radium","0.062","0.82","0.118","0.9487","0.15156250000000002","0.4076388888888889"
"Anna Jerzmańska","Female","20th","Scientist","Poland","jerzmańska, polish, anna, literary, warsaw","0.017","0.818","0.165","0.9875","0.10566666666666669","0.3716666666666667"
"Elvira Fortunato","Female","20th","Scientist","Portugal","fortunato, materials, electronics, science, research","0.009","0.876","0.114","0.9741","0.14055555555555557","0.4327777777777778"
"Maria de Sousa","Female","20th","Scientist","Portugal","sousa, immunology, scientific, lisbon, portugal","0.0","0.86","0.14","0.9871","0.14973484848484847","0.438560606060606"
"Maria do Carmo Fonseca","Female","20th","Scientist","Portugal","fonseca, evolutionary, genetics, conservation, lisbon","0.0","0.889","0.111","0.9769","0.10795454545454544","0.37532467532467534"
"Amalia Robles","Female","20th","Scientist","Portugal","robles, mexican, literature, women, amalia","0.006","0.86","0.134","0.9773","0.11964285714285715","0.3895238095238095"
"Ana Carlos Pereira","Female","20th","Scientist","Portugal","pereira, carlos, ana, publish, lisbon","0.017","0.856","0.127","0.9774","0.12083333333333333","0.35611111111111104"
"Olga Ladyzhenskaya","Female","20th","Scientist","Russia","ladyzhenskaya, mathematics, equations, olga, mathematicians","0.014","0.826","0.16","0.9867","0.17210743801652895","0.48240358126721755"
"Sofia Kovalevskaya","Female","20th","Scientist","Russia","kovalevskaya, mathematics, woman, mathematician, weierstrass","0.061","0.841","0.098","0.8279","0.1289855072463768","0.3351449275362319"
"Natalia Bekhtereva","Female","20th","Scientist","Russia","bekhtereva, brain, neuropsychology, functions, disorders","0.008","0.905","0.088","0.9393","0.14568965517241378","0.43218390804597695"
"Zinaida Ermol'eva","Female","20th","Scientist","Russia","ermol, eva, russian, soviet, literary","0.057","0.784","0.16","0.978","0.1454022988505747","0.37614942528735634"
"Chien-Shiung Wu is not Russian","Female","20th","Scientist","Russia","wu, physics, experiment, conducted, nuclear","0.047","0.871","0.082","0.7737","0.14166666666666666","0.5056349206349205"
"Dorothy Hodgkin","Female","20th","Scientist","United Kingdom","hodgkin, chemistry, british, science, bragg","0.0","0.875","0.125","0.9807","0.1300925925925926","0.36296296296296293"
"Jocelyn Bell Burnell","Female","20th","Scientist","United Kingdom","burnell, bell, hewish, pulsars, physics","0.006","0.915","0.079","0.9371","0.17747252747252748","0.5287193575655114"
"Rosalind Franklin","Female","20th","Scientist","United Kingdom","franklin, dna, helix, crick, watson","0.075","0.812","0.112","0.8873","0.16443452380952378","0.5413690476190477"
"Anne McLaren","Female","20th","Scientist","United Kingdom","mclaren, reproductive, mammalian, ivf, vitro","0.0","0.87","0.13","0.9865","0.1486111111111111","0.5162037037037037"
"Mary Cartwright","Female","20th","Scientist","United Kingdom","cartwright, mathematical, mathematics, radar, chaos","0.079","0.803","0.118","0.7906","0.032936507936507944","0.30436507936507934"
"Ding Ling","Female","20th","Writer","China","ling, ding, chinese, china, 1933","0.048","0.849","0.103","0.9171","0.06111925708699903","0.270307917888563"
"Wang Anyi","Female","20th","Writer","China","wang, anyi, chinese, shanghai, everlasting","0.022","0.865","0.113","0.9686","0.06311553030303031","0.3157670454545455"
"Bing Xin","Female","20th","Writer","China","xin, bing, china, chinese, literature","0.013","0.858","0.129","0.9829","0.09907407407407409","0.3004629629629629"
"Eileen Chang","Female","20th","Writer","China","chang, kong, hong, chinese, china","0.032","0.824","0.144","0.9821","0.1267156862745098","0.34215686274509804"
"Zhang Ailing","Female","20th","Writer","China","zhang, ailing, kong, hong, divorce","0.08","0.79","0.13","0.9397","0.167283950617284","0.4151234567901234"
"Füruzan","Female","20th","Writer","Turkey","füruzan, turkish, turkey, kızıl, exposing","0.035","0.862","0.103","0.9485","0.10603448275862068","0.3850574712643678"
"Halide Edib Adıvar","Female","20th","Writer","Turkey","adıvar, turkish, edib, halide, turkey","0.054","0.791","0.155","0.9678","0.15198412698412697","0.4337301587301587"
"Latife Tekin","Female","20th","Writer","Turkey","tekin, turkish, literature, realism, shameless","0.022","0.825","0.152","0.9825","0.18631138975966563","0.4228578892371996"
"Adalet Ağaoğlu","Female","20th","Writer","Turkey","ağaoğlu, turkish, adalet, playwright, ağaç","0.012","0.813","0.175","0.9925","0.1008563899868248","0.4012845849802371"
"Leyla Erbil","Female","20th","Writer","Turkey","erbil, kurdish, leyla, turkish, turkey","0.008","0.855","0.137","0.9868","0.11436237373737373","0.39185606060606065"
"Sophie Calle","Female","21st","Artist","France","calle, art, hotel, photography, listed","0.036","0.881","0.082","0.9186","0.08645382395382395","0.3446608946608946"
"Camille Henrot","Female","21st","Artist","France","henrot, art, paris, contemporary, practice","0.0","0.868","0.132","0.9865","0.18249738766980145","0.4177115987460815"
"Annette Messager","Female","21st","Artist","France","messager, installation, art, paris, museum","0.009","0.857","0.135","0.9837","0.10926767676767676","0.48792929292929293"
"Claire Tabouret","Female","21st","Artist","France","tabouret, claire, art, france, paris","0.008","0.88","0.111","0.9738","0.12961309523809525","0.4089285714285714"
"Laure Prouvost","Female","21st","Artist","France","prouvost, art, video, installation, wantee","0.0","0.84","0.16","0.9872","0.11250000000000002","0.36726190476190484"
"Isa Genzken","Female","21st","Artist","Germany","genzken, art, kunst, bildende, hochschule","0.025","0.832","0.143","0.9806","0.10211776859504135","0.4453168044077135"
"Rosemarie Trockel","Female","21st","Artist","Germany","trockel, art, knitting, schwerte, rosemarie","0.0","0.917","0.083","0.9485","0.16796911421911423","0.4991491841491842"
"Katharina Grosse","Female","21st","Artist","Germany","grosse, installation, hamburg, immersive, installations","0.014","0.878","0.109","0.9729","0.19803321678321678","0.5309440559440559"
"Alicja Kwade","Female","21st","Artist","Germany","kwade, art, reality, alicja, installations","0.018","0.89","0.092","0.9423","0.17789001122334452","0.5628226711560045"
"Anima Gee","Female","21st","Artist","Germany","gee, anima, literature, storytelling, london","0.009","0.825","0.166","0.9892","0.13233333333333333","0.2966666666666667"
"Teresa Margolles","Female","21st","Artist","Mexico","margolles, violence, mexico, death, installations","0.183","0.73","0.086","-0.984","0.08097643097643097","0.44629629629629625"
"Betsabeé Romero","Female","21st","Artist","Mexico","romero, art, betsabeé, mexico, museum","0.006","0.875","0.119","0.9808","0.14270562770562772","0.37870129870129865"
"Frida Kahlo","Female","21st","Artist","Mexico","kahlo, coyoacán, surgeries, pain, rivera","0.11","0.784","0.106","-0.5114","0.10367965367965369","0.4225262832405689"
"Minerva Cuevas","Female","21st","Artist","Mexico","cuevas, art, socially, invisible, mexico","0.007","0.863","0.131","0.9837","0.12547348484848483","0.3692866161616161"
"Pia Camil","Female","21st","Artist","Mexico","camil, art, mexico, angeles, city","0.011","0.898","0.092","0.9485","0.13113075196408527","0.37808641975308643"
"Olga Chernysheva","Female","21st","Artist","Russia","chernysheva, moscow, art, russian, biennale","0.0","0.927","0.073","0.9371","0.1135691894312584","0.3785639647708614"
"Marina Abramovic","Female","21st","Artist","Russia","abramović, belgrade, art, piece, artist","0.028","0.881","0.091","0.9128","0.17429854096520764","0.4679733846400513"
"Alexandra Paperno","Female","21st","Artist","Russia","paperno, russian, american, literary, moscow","0.01","0.907","0.083","0.9337","0.1318655303030303","0.3379024621212121"
"Alina Gutkina","Female","21st","Artist","Russia","gutkina, alina, literary, arts, moscow","0.02","0.846","0.134","0.9786","0.1425925925925926","0.36080246913580244"
"Anna Bogoslovskaya","Female","21st","Artist","Russia","bogoslovskaya, anna, literary, literature, intersectionality","0.013","0.848","0.139","0.9837","0.11151515151515153","0.39179653679653675"
"Marit Bjoergen","Female","21st","Athlete","Norway","bjørgen, cross, medals, skiing, country","0.0","0.887","0.113","0.9786","0.24912280701754383","0.46096491228070174"
"Therese Johaug","Female","21st","Athlete","Norway","johaug, skiing, therese, cross, cup","0.044","0.785","0.172","0.9878","0.23425925925925928","0.4583333333333333"
"Ada Hegerberg","Female","21st","Athlete","Norway","hegerberg, molde, football, footballer, female","0.012","0.853","0.135","0.9709","0.25709876543209875","0.45462962962962955"
"Caroline Graham Hansen","Female","21st","Athlete","Norway","hansen, women, team, fc, senior","0.0","0.831","0.169","0.9896","0.22738095238095235","0.4666666666666666"
"Arianna Fontana","Female","21st","Athlete","Norway","fontana, arianna, meters, skating, 500","0.0","0.828","0.172","0.9909","0.23421052631578948","0.4504385964912282"
"Mariana Mazzucato","Female","21st","Economist","Italy","mazzucato, innovation, value, economic, commission","0.01","0.812","0.179","0.9906","0.11111111111111112","0.3444444444444444"
"Paola Sapienza","Female","21st","Economist","Italy","sapienza, paola, finance, economic, economics","0.0","0.907","0.093","0.9489","0.12980769230769232","0.32307692307692315"
"Alessandra Bonfiglioli","Female","21st","Economist","Italy","bonfiglioli, literature, alessandra, bologna, italian","0.009","0.876","0.116","0.9744","0.10906285072951742","0.2801066217732884"
"Alessandra Casarico","Female","21st","Economist","Italy","casarico, labor, economics, milan, alessandra","0.0","0.869","0.131","0.9839","0.10108695652173912","0.26666666666666666"
"Alessandra Pelloni","Female","21st","Economist","Italy","pelloni, alessandra, literature, literary, storytelling","0.009","0.834","0.157","0.9874","0.09375000000000001","0.3013888888888888"
"Nora Lustig","Female","21st","Economist","Mexico","lustig, inequality, latin, america, policy","0.033","0.841","0.125","0.9652","0.16324242424242422","0.33636363636363625"
"Graciela Márquez Colín","Female","21st","Economist","Mexico","colín, márquez, literature, mexican, mexico","0.0","0.812","0.188","0.9938","0.14846380471380471","0.3547558922558922"
"Alicia Bárcena Ibarra","Female","21st","Economist","Mexico","bárcena, sustainable, environmental, eclac, mexico","0.0","0.862","0.138","0.9862","0.11466666666666665","0.32233333333333336"
