"Name","Gender","Century","Scope","Country","top5_keywords","sent_neg","sent_neu","sent_pos","sent_compound","polarity","subjectivity"
"Rosa Luxemburg","Female","20th","Economist","Germany","revolutionary, spd, luxemburg, spartacus, war","0.164","0.754","0.082","-0.967","-0.07944444444444444","0.3233333333333333"
"Annelise Wambach","Female","20th","Economist","Germany","wambach, biblical, theology, old, testament","0.024","0.872","0.104","0.9413","0.09404761904761906","0.3630952380952381"
"Annette Baier.","Female","20th","Economist","Germany","baier, zealand, moral, trust, epistemology","0.03","0.78","0.19","0.9874","0.11319776714513555","0.4643141945773524"
"Chikayo Kondo","Female","20th","Economist","Japan","kondo, japanese, novel, attesting, chikayo","0.033","0.881","0.086","0.7964","0.03930107526881721","0.32064516129032256"
"Emiko Kinoshita","Female","20th","Economist","Japan","kinoshita, forgetfulness, emiko, literary, japan","0.053","0.824","0.122","0.9136","0.05403225806451613","0.2836021505376344"
"Fumiko Hayashi","Female","20th","Economist","Japan","hayashi, unconventional, candidly, kikue, hōrōki","0.097","0.826","0.077","-0.7184","0.13295454545454546","0.5412878787878788"
"Hiroko Takeda","Female","20th","Economist","Japan","takeda, canadian, breath, gears, hemispheres","0.043","0.85","0.107","0.891","0.07625","0.3129166666666666"
"Hiroko Yamamoto","Female","20th","Economist","Japan","yamamoto, japanese, possibly, literature, hiroko","0.043","0.838","0.119","0.9393","0.10488095238095238","0.3380952380952381"
"Ayşe Buğra","Female","20th","Economist","Turkey","buğra, turkey, ayşe, social, economic","0.043","0.786","0.171","0.9763","0.15194444444444447","0.2475"
"Aysel Yelken","Female","20th","Economist","Turkey","yelken, young, people, reading, literature","0.011","0.811","0.179","0.9869","0.11505376344086025","0.35752688172043007"
"Aysu İnsel","Female","20th","Economist","Turkey","nsel, children, literature, turkish, french","0.014","0.894","0.092","0.9349","0.1426923076923077","0.26884615384615385"
"Aysıt Tansel","Female","20th","Economist","Turkey","tansel, aysıt, turkey, academic, economics","0.015","0.9","0.085","0.9217","0.08556818181818181","0.3456439393939394"
"Berrin Aktın","Female","20th","Economist","Turkey","aktın, young, berrin, writing, turkish","0.0","0.803","0.197","0.9899","0.14910714285714283","0.4458333333333334"
"Joan Robinson","Female","20th","Economist","United Kingdom","robinson, keynesian, economics, accumulation, economic","0.09","0.809","0.1","0.1687","0.2085978835978836","0.5524250440917107"
"Phyllis Deane","Female","20th","Economist","United Kingdom","deane, economic, phyllis, cambridge, quantitative","0.027","0.921","0.052","0.6597","0.1645833333333334","0.30492424242424254"
"Barbara Wootton","Female","20th","Economist","United Kingdom","wootton, social, criminal, crime, criminology","0.151","0.734","0.116","-0.9349","0.06398809523809525","0.3151785714285714"
"Sheila Dow","Female","20th","Economist","United Kingdom","economics, dow, stirling, methodological, economic","0.011","0.894","0.095","0.9468","0.18533333333333335","0.45733333333333326"
"Amartya Sen (though primarily known as a philosopher, her early work was in economics and influenced UK economic thought)","Female","20th","Economist","United Kingdom","sen, economics, famines, poverty, welfare","0.049","0.831","0.12","0.9519","0.07839026915113873","0.2745859213250517"
"Elsie MacGill","Female","20th","Inventor","Canada","elsie, aeronautical, engineering, cc, macgill","0.055","0.883","0.062","-0.1027","0.0803030303030303","0.41818181818181815"
"Harriet Brooks","Female","20th","Inventor","Canada","brooks, recoil, radioactive, harriet, rutherford","0.054","0.873","0.073","0.2677","0.16113445378151264","0.5526610644257703"
"Ursula Franklin","Female","20th","Inventor","Canada","franklin, ursula, technology, scientific, toronto","0.043","0.872","0.085","0.8176","0.11159420289855071","0.4130434782608695"
"Agnes Mary Robertson Macdonell","Female","20th","Inventor","Canada","agnes, egerton, castle, partnership, fencing","0.041","0.7","0.259","0.9953","0.2347701149425287","0.44999999999999996"
"Alice Wilson","Female","20th","Inventor","Canada","wilson, gsc, fossils, paleontology, geologist","0.039","0.877","0.084","0.8205","0.18125","0.5296875000000001"
"Aletta Jacobs","Female","20th","Inventor","Netherlands","jacobs, women, aletta, netherlands, dutch","0.106","0.717","0.178","0.9662","0.06526915113871637","0.41516563146997926"
"Johanna Westerdijk","Female","20th","Inventor","Netherlands","westerdijk, plant, fungal, johanna, amsterdam","0.016","0.897","0.087","0.9325","0.14558823529411766","0.40882352941176475"
"Lise Meitner","Female","20th","Inventor","Netherlands","meitner, hahn, otto, vienna, nuclear","0.061","0.843","0.096","0.7779","0.0859375","0.5094494047619047"
"Truus van Lier","Female","20th","Inventor","Netherlands","truus, utrecht, assassination, resistance, nazi","0.153","0.757","0.09","-0.9254","0.03229166666666667","0.39166666666666666"
"Anna K. A. D. Naeff","Female","20th","Inventor","Netherlands","naeff, dutch, anna, progressive, education","0.014","0.769","0.217","0.9931","0.1588888888888889","0.4027777777777777"
"Afife Batur","Female","20th","Inventor","Turkey","batur, architectural, istanbul, afife, turkish","0.0","0.879","0.121","0.9732","0.09537037037037038","0.39212962962962955"
"Ayla Davutyan","Female","20th","Inventor","Turkey","armenian, davutyan, yerevan, anthologized, ayla","0.0","0.842","0.158","0.9816","0.10569985569985568","0.4141053391053391"
"Aysun Yıldız","Female","20th","Inventor","Turkey","yıldız, turkish, aysun, literary, literature","0.011","0.888","0.101","0.9552","0.13165584415584416","0.32367424242424236"
"Caliye Cerrahoglu","Female","20th","Inventor","Turkey","cerrahoglu, turkish, literature, caliye, literary","0.025","0.793","0.182","0.9821","0.14946236559139783","0.37903225806451607"
"Canan Dağdeviren","Female","20th","Inventor","Turkey","dağdeviren, wearable, devices, science, flexible","0.017","0.882","0.1","0.9501","0.13","0.36"
"Sissel Kyrkjebø","Female","20th","Musician","Norway","sissel, norway, krall, stokkan, wordless","0.0","0.806","0.194","0.9923","0.1625","0.4543478260869565"
"Kari Bremnes","Female","20th","Musician","Norway","bremnes, gåte, norwegian, music, folk","0.023","0.749","0.228","0.9949","0.19702380952380952","0.44226190476190474"
"Kirsten Flagstad","Female","20th","Musician","Norway","flagstad, wagnerian, opera, isolde, soprano","0.061","0.836","0.102","0.8588","0.12864219114219114","0.5344696969696969"
"Mari Boine","Female","20th","Musician","Norway","sámi, boine, gula, music, cultural","0.0","0.863","0.137","0.9826","0.10066666666666668","0.354"
"Anne Grete Preus","Female","20th","Musician","Norway","preus, norwegian, grete, music, anne","0.022","0.824","0.154","0.985","0.17639639639639637","0.47000000000000003"
"Montserrat Caballé","Female","20th","Musician","Spain","caballé, opera, montserrat, operatic, barcelona","0.0","0.869","0.131","0.9814","0.21016899766899766","0.4645261789492559"
"Alicia de Larrocha","Female","20th","Musician","Spain","larrocha, granados, spanish, albéniz, enrique","0.012","0.829","0.158","0.9861","0.06293103448275862","0.2701149425287356"
"Ana Belén","Female","20th","Musician","Spain","spanish, belén, actress, theatre, ana","0.018","0.796","0.186","0.9907","0.21562499999999998","0.453125"
"Carmen Linares","Female","20th","Musician","Spain","flamenco, linares, lorca, carmen, morente","0.0","0.82","0.18","0.9902","0.21588319088319088","0.5742521367521367"
"Victoria de los Ángeles","Female","20th","Musician","Spain","ángeles, victoria, los, barcelona, opera","0.019","0.875","0.106","0.9583","0.18244047619047618","0.44940476190476186"
"Aretha Franklin","Female","20th","Musician","United States","aretha, franklin, records, baptist, fools","0.073","0.751","0.177","0.9784","0.25490196078431376","0.44705882352941173"
"Billie Holiday","Female","20th","Musician","United States","holiday, jazz, billie, addiction, drug","0.103","0.807","0.09","-0.7429","0.1427159645909646","0.4704212454212455"
"Ella Fitzgerald","Female","20th","Musician","United States","fitzgerald, songbook, webb, ella, orchestra","0.054","0.756","0.19","0.9875","0.24565217391304342","0.5213768115942029"
"Janis Joplin","Female","20th","Musician","United States","joplin, blues, kozmic, pearl, texas","0.143","0.738","0.119","-0.7807","0.19971153846153847","0.4909935897435897"
"Madonna","Female","20th","Musician","United States","madonna, dance, music, image, courted","0.026","0.885","0.089","0.9001","0.21181818181818182","0.3860606060606061"
"Diana Maffía","Female","20th","Philosopher","Argentina","maffía, gender, buenos, aires, feminist","0.034","0.859","0.107","0.9371","0.09120370370370372","0.3300925925925926"
"María Luisa Femenías","Female","20th","Philosopher","Argentina","femenías, gender, feminist, philosophical, knowledge","0.019","0.897","0.084","0.891","0.07666666666666667","0.314"
"Alicia Moreau de Justo","Female","20th","Philosopher","Argentina","justo, moreau, socialist, rights, women","0.012","0.821","0.167","0.9847","0.09006410256410255","0.40544871794871784"
"Alicia Villar","Female","20th","Philosopher","Argentina","villar, latin, america, untold, investigative","0.011","0.81","0.18","0.9861","0.12803030303030305","0.38106060606060604"
"Amelia Podetti","Female","20th","Philosopher","Argentina","podetti, argentina, literary, italian, amelia","0.033","0.83","0.137","0.9729","0.06728395061728397","0.2666666666666666"
"Chizuko Ueno","Female","20th","Philosopher","Japan","ueno, japanese, feminist, activism, kyoto","0.0","0.895","0.105","0.9666","0.14583333333333337","0.3541666666666667"
"Hani Motoko","Female","20th","Philosopher","Japan","motoko, women, hani, educational, practical","0.046","0.858","0.096","0.8968","0.09868421052631579","0.3925438596491228"
"Hiratsuka Raichō","Female","20th","Philosopher","Japan","women, seitō, raichō, japan, hiratsuka","0.064","0.806","0.13","0.9313","0.16889382547277282","0.558321941216678"
"Hitomi Kiyokawa","Female","20th","Philosopher","Japan","embroidery, kiyokawa, embroidered, portraits, techniques","0.0","0.77","0.23","0.9917","0.20966810966810967","0.6291847041847043"
"Hitoshi Tsuji.","Female","20th","Philosopher","Japan","tsuji, kaban, hitoshi, tabibito, suitcase","0.037","0.878","0.086","0.8957","0.12927115987460816","0.3910919540229885"
"Betül Çotuksöken","Female","20th","Philosopher","Turkey","çotuksöken, philosophy, nsan, ve, philosophical","0.023","0.874","0.102","0.9432","0.07884012539184952","0.2329153605015674"
"Ioanna Kuçuradi","Female","20th","Philosopher","Turkey","rights, kuçuradi, human, philosophy, ethics","0.011","0.879","0.11","0.9666","0.06722222222222222","0.23777777777777778"
"Şirin Tekeli","Female","20th","Philosopher","Turkey","feminist, tekeli, turkey, women, activism","0.054","0.877","0.069","0.3818","0.07386363636363637","0.3704545454545455"
"Ayşe Kadıoğlu","Female","20th","Philosopher","Turkey","kadıoğlu, turkish, secularism, turkey, boğaziçi","0.0","0.882","0.118","0.9694","0.10212215320910974","0.3702380952380952"
"Ayşe Saktanber","Female","20th","Philosopher","Turkey","saktanber, turkey, turkish, secularism, gender","0.01","0.82","0.169","0.9862","0.12130681818181817","0.39046717171717166"
"Martine Aubry","Female","20th","Politician","France","aubry, french, socialist, employment, labour","0.079","0.844","0.076","-0.4019","0.096875","0.24479166666666663"
"Simone Veil","Female","20th","Politician","France","simone, veil, holocaust, conditions, european","0.046","0.805","0.149","0.9746","0.09814814814814815","0.5101851851851852"
"Édith Cresson","Female","20th","Politician","France","cresson, édith, minister, european, campion","0.079","0.859","0.063","-0.6124","0.11141975308641977","0.4018518518518519"
"Françoise Giroud","Female","20th","Politician","France","giroud, french, françoise, women, journalist","0.017","0.892","0.091","0.9423","0.1776785714285714","0.419047619047619"
"Michèle Alliot-Marie","Female","20th","Politician","France","alliot, marie, minister, european, defence","0.019","0.887","0.094","0.9186","0.10288461538461538","0.34967948717948716"
"Gro Harlem Brundtland","Female","20th","Politician","Norway","brundtland, health, commission, sustainable, minister","0.009","0.932","0.059","0.8569","0.08680555555555554","0.2590277777777778"
"Eva Kolstad","Female","20th","Politician","Norway","kolstad, norwegian, women, eva, consumer","0.012","0.829","0.159","0.9821","0.140719696969697","0.27954545454545454"
"Aase Lionæs","Female","20th","Politician","Norway","lionæs, norwegian, peace, aase, parliament","0.006","0.818","0.176","0.9909","0.13591954022988503","0.3040229885057471"
"Anne Enger Lahnstein","Female","20th","Politician","Norway","lahnstein, party, enger, leader, centre","0.018","0.769","0.213","0.9908","0.2685332157554379","0.4781158142269253"
"Berit Ås","Female","20th","Politician","Norway","ås, women, berit, psychologist, feminist","0.016","0.845","0.139","0.9769","0.05089285714285714","0.325297619047619"
"Alicja Dorabialska","Female","20th","Scientist","Poland","dorabialska, cryochemistry, temperatures, lviv, poland","0.083","0.872","0.045","-0.8481","0.156002331002331","0.4689393939393938"
"Maria Skłodowska-Curie","Female","20th","Scientist","Poland","maria, curie, pierre, bronisława, becquerel","0.088","0.799","0.113","0.7684","0.05548530416951469","0.31258259284575074"
"Irena Sendler","Female","20th","Scientist","Poland","irena, children, families, sendler, żegota","0.156","0.701","0.143","-0.6124","-0.014035087719298251","0.48333333333333334"
"Marie Curie","Female","20th","Scientist","Poland","curie, pierre, marie, becquerel, radium","0.074","0.799","0.127","0.9385","0.1198809523809524","0.5449999999999999"
"Anna Jerzmańska","Female","20th","Scientist","Poland","fish, jerzmańska, paleogene, paleontology, fossil","0.0","0.899","0.101","0.9578","0.13302139037433156","0.44046345811051696"
"Elvira Fortunato","Female","20th","Scientist","Portugal","fortunato, materials, electronics, elvira, science","0.0","0.863","0.137","0.9813","0.12277462121212121","0.35890151515151514"
"Maria de Sousa","Female","20th","Scientist","Portugal","sousa, lymphocyte, areas, scientific, immunology","0.034","0.845","0.121","0.9605","0.10519480519480519","0.32922077922077925"
"Maria do Carmo Fonseca","Female","20th","Scientist","Portugal","fonseca, molecular, research, rna, processing","0.017","0.856","0.127","0.9785","0.10341666666666667","0.3111666666666667"
"Amalia Robles","Female","20th","Scientist","Portugal","robles, amelio, gender, mexican, identity","0.032","0.843","0.125","0.9578","0.02932429888951628","0.43850931677018634"
"Ana Carlos Pereira","Female","20th","Scientist","Portugal","pereira, portuguese, gender, social, portugal","0.01","0.823","0.167","0.9878","0.09310344827586207","0.3353448275862068"
"Olga Ladyzhenskaya","Female","20th","Scientist","Russia","ladyzhenskaya, mathematical, equations, leningrad, stokes","0.042","0.801","0.156","0.9747","0.0554421768707483","0.33951247165532883"
"Sofia Kovalevskaya","Female","20th","Scientist","Russia","sofia, kovalevskaya, weierstrass, mathematician, partial","0.07","0.8","0.13","0.9403","0.15362318840579708","0.4442028985507246"
"Natalia Bekhtereva","Female","20th","Scientist","Russia","brain, bekhtereva, scientific, neuroscience, human","0.055","0.866","0.078","0.5994","0.04294871794871795","0.40320512820512816"
"Zinaida Ermol'eva","Female","20th","Scientist","Russia","ermol, eva, cholera, soviet, penicillin","0.044","0.788","0.167","0.9856","0.1420138888888889","0.5395833333333332"
"Chien-Shiung Wu is not Russian","Female","20th","Scientist","Russia","wu, shiung, chien, yang, physics","0.082","0.796","0.122","0.8751","0.22380952380952385","0.6271428571428572"
"Dorothy Hodgkin","Female","20th","Scientist","United Kingdom","hodgkin, chemistry, molecules, ray, oxford","0.017","0.851","0.133","0.9761","0.12444444444444444","0.3688888888888889"
"Jocelyn Bell Burnell","Female","20th","Scientist","United Kingdom","burnell, bell, hewish, physics, telescope","0.007","0.863","0.13","0.9844","0.14341372912801484","0.4748667998667999"
"Rosalind Franklin","Female","20th","Scientist","United Kingdom","dna, franklin, ray, wilkins, photograph","0.089","0.824","0.087","-0.3879","0.11653346653346655","0.48386613386613386"
"Anne McLaren","Female","20th","Scientist","United Kingdom","mclaren, reproductive, fertilization, embryology, mammalian","0.0","0.867","0.133","0.9818","0.13958333333333334","0.47458333333333325"
"Mary Cartwright","Female","20th","Scientist","United Kingdom","cartwright, equations, dynamical, chaos, differential","0.071","0.829","0.1","0.5729","0.1372549019607843","0.5239495798319327"
"Ding Ling","Female","20th","Writer","China","ling, ding, rightist, party, yepin","0.11","0.812","0.079","-0.886","0.05037878787878787","0.5299242424242424"
"Wang Anyi","Female","20th","Writer","China","shanghai, anyi, wang, chinese, sexuality","0.046","0.889","0.066","0.4215","0.0825","0.318"
"Bing Xin","Female","20th","Writer","China","xin, bing, yenching, china, literature","0.036","0.803","0.161","0.9849","0.12033333333333335","0.4506190476190476"
"Eileen Chang","Female","20th","Writer","China","chang, shanghai, eileen, kong, hong","0.121","0.718","0.161","0.9089","0.12801724137931036","0.40948275862068956"
"Zhang Ailing","Female","20th","Writer","China","kong, hong, shanghai, eileen, chang","0.127","0.791","0.082","-0.8661","0.12447916666666667","0.29973958333333334"
"Füruzan","Female","20th","Writer","Turkey","füruzan, turkish, 47, collection, berlin","0.027","0.891","0.081","0.891","0.06904166666666667","0.44574999999999987"
"Halide Edib Adıvar","Female","20th","Writer","Turkey","halide, istanbul, adıvar, edib, turkish","0.134","0.823","0.042","-0.9709","0.07916666666666666","0.39242424242424234"
"Latife Tekin","Female","20th","Writer","Turkey","tekin, kristin, worker, rural, çöp","0.063","0.875","0.062","-0.079","0.13762987012987013","0.4920378387045053"
"Adalet Ağaoğlu","Female","20th","Writer","Turkey","ağaoğlu, turkish, adalet, hayır, ölmeye","0.046","0.789","0.165","0.9767","0.15929487179487178","0.44903846153846144"
"Leyla Erbil","Female","20th","Writer","Turkey","erbil, leyla, istanbul, english, hallaç","0.046","0.758","0.196","0.9902","0.09986111111111114","0.36694444444444435"
"Sophie Calle","Female","21st","Artist","France","calle, invited, seen, documenting, color","0.024","0.906","0.07","0.8519","0.07647243107769423","0.41835839598997493"
"Camille Henrot","Female","21st","Artist","France","henrot, visually, video, paris, artist","0.02","0.897","0.082","0.9136","0.15604256854256854","0.3603535353535353"
"Annette Messager","Female","21st","Artist","France","messager, installation, vows, wigs, berck","0.036","0.775","0.19","0.9858","0.15728571428571428","0.5206190476190476"
"Claire Tabouret","Female","21st","Artist","France","tabouret, enwezor, okwui, pertuis, futures","0.023","0.888","0.089","0.9001","0.17210743801652892","0.48787878787878786"
"Laure Prouvost","Female","21st","Artist","France","prouvost, turner, artist, 58th, whitechapel","0.0","0.853","0.147","0.9781","0.16733954451345753","0.41697722567287776"
"Isa Genzken","Female","21st","Artist","Germany","genzken, mannequins, objects, museum, urban","0.071","0.843","0.086","0.216","0.08544721407624634","0.4791788856304985"
"Rosemarie Trockel","Female","21st","Artist","Germany","trockel, practice, artistic, knitted, schwerte","0.026","0.87","0.104","0.9392","0.14928030303030304","0.4853787878787878"
"Katharina Grosse","Female","21st","Artist","Germany","grosse, painting, kunstakademie, canvas, environments","0.013","0.804","0.183","0.9909","0.14723193473193472","0.4178030303030302"
"Alicja Kwade","Female","21st","Artist","Germany","kwade, installation, berlin, photography, toto","0.022","0.88","0.097","0.9658","0.1810683364254793","0.4847969490826634"
"Anima Gee","Female","21st","Artist","Germany","gee, indian, fiction, anima, hedi","0.009","0.854","0.136","0.9801","0.0781986531986532","0.2662889579556246"
"Teresa Margolles","Female","21st","Artist","Mexico","margolles, violence, morgue, semefo, forensic","0.185","0.745","0.07","-0.9847","0.11215277777777777","0.4927083333333333"
"Betsabeé Romero","Female","21st","Artist","Mexico","romero, art, mexican, mexico, globalization","0.0","0.883","0.117","0.9694","0.11810344827586207","0.41465517241379307"
"Frida Kahlo","Female","21st","Artist","Mexico","frida, kahlo, mexican, pain, art","0.095","0.748","0.157","0.9103","0.06869658119658119","0.4711385836385836"
"Minerva Cuevas","Female","21st","Artist","Mexico","cuevas, corporate, corp, discounted, dissidencies","0.027","0.835","0.137","0.9601","0.13659420289855073","0.3909420289855072"
"Pia Camil","Female","21st","Artist","Mexico","camil, art, mexico, museum, pia","0.01","0.8","0.191","0.9893","0.18355780022446688","0.48566217732884404"
"Olga Chernysheva","Female","21st","Artist","Russia","chernysheva, moscow, exhibitions, art, calvert","0.01","0.917","0.073","0.8957","0.0890151515151515","0.3072916666666667"
"Marina Abramovic","Female","21st","Artist","Russia","abramović, performances, artist, visitors, ulay","0.069","0.814","0.116","0.7964","0.05482456140350879","0.4886591478696742"
"Alexandra Paperno","Female","21st","Artist","Russia","paperno, language, cognitive, linguistic, children","0.0","0.941","0.059","0.8658","0.1436688311688312","0.32353896103896107"
"Alina Gutkina","Female","21st","Artist","Russia","gutkina, young, tells, grade, storytellers","0.011","0.844","0.145","0.9794","0.11522366522366523","0.454978354978355"
"Anna Bogoslovskaya","Female","21st","Artist","Russia","bogoslovskaya, russian, historical, canadian, fiction","0.011","0.872","0.117","0.9601","0.10590277777777778","0.23888888888888882"
"Marit Bjoergen","Female","21st","Athlete","Norway","bjørgen, silver, golds, olympic, cross","0.006","0.804","0.19","0.9917","0.18796296296296297","0.5018518518518519"
"Therese Johaug","Female","21st","Athlete","Norway","johaug, 30km, freestyle, ban, skiing","0.03","0.808","0.162","0.979","0.2207431457431457","0.5255772005772005"
"Ada Hegerberg","Female","21st","Athlete","Norway","hegerberg, lyon, féminine, ada, footballer","0.012","0.802","0.187","0.9903","0.2257246376811594","0.3884057971014493"
"Caroline Graham Hansen","Female","21st","Athlete","Norway","hansen, graham, team, norway, titles","0.009","0.873","0.118","0.9697","0.1696666666666667","0.3483333333333334"
"Arianna Fontana","Female","21st","Athlete","Norway","fontana, 500m, winter, 3000m, track","0.0","0.846","0.154","0.9901","0.19375","0.37222222222222223"
"Mariana Mazzucato","Female","21st","Economist","Italy","mazzucato, innovation, mission, sector, princeton","0.012","0.867","0.122","0.9741","0.051493506493506494","0.23039502164502168"
"Paola Sapienza","Female","21st","Economist","Italy","sapienza, kellogg, booth, academic, financial","0.023","0.886","0.091","0.9337","0.11969696969696969","0.3098484848484849"
"Alessandra Bonfiglioli","Female","21st","Economist","Italy","bonfiglioli, economics, trade, organizational, firm","0.0","0.939","0.061","0.8834","0.015686274509803925","0.19999999999999998"
"Alessandra Casarico","Female","21st","Economist","Italy","casarico, taxation, italian, tax, milan","0.011","0.91","0.079","0.9053","0.05475308641975308","0.2325925925925926"
"Alessandra Pelloni","Female","21st","Economist","Italy","pelloni, italian, representation, cornerstones, academic","0.025","0.801","0.174","0.9814","0.14453124999999997","0.38906250000000003"
"Nora Lustig","Female","21st","Economist","Mexico","inequality, poverty, lustig, policy, fiscal","0.052","0.863","0.085","0.6705","0.1442982456140351","0.35745614035087725"
"Graciela Márquez Colín","Female","21st","Economist","Mexico","colín, márquez, colegio, mexico, méxico","0.009","0.898","0.092","0.9531","0.11250000000000002","0.2552083333333333"
